CD,FI3312B
6.015,30.600
6.014,30.792
6.015,30.596
6.015,30.737
6.015,30.572
6.014,30.797
6.015,30.654
6.015,30.738
6.015,30.369
6.013,30.481
6.012,30.154
6.014,30.666
6.012,30.536
6.013,30.362
6.015,30.517
6.013,30.311
6.014,30.655
6.013,30.615
6.014,30.532
6.012,30.520
6.014,30.359
6.011,30.650
6.014,30.553
6.014,30.465
6.013,30.726
6.014,30.545
6.014,30.489
6.014,30.523
6.014,30.342
6.014,30.337
6.014,30.248
6.012,30.285
4.247,29.420
2.451,30.126
2.452,30.405
2.451,30.311
2.451,30.466
2.452,30.514
2.453,30.679
2.453,30.110
2.452,30.263
2.452,30.385
2.451,30.030
2.451,30.519
2.452,30.038
6.010,31.413
6.009,31.191
6.010,31.109
6.010,31.177
6.009,31.180
6.009,31.074
6.009,31.175
6.009,31.123
6.009,31.048
2.756,30.486
2.756,30.683
2.757,30.398
2.756,30.521
2.757,30.393
2.757,30.462
2.758,30.557
2.757,30.439
2.757,30.534
2.758,30.405
2.757,30.121
2.757,30.454
2.756,30.188
6.010,31.093
6.008,30.989
6.009,31.003
6.008,30.959
6.008,30.988
6.007,30.816
6.008,31.012
6.008,30.969
6.008,30.952
6.008,31.092
6.010,30.884
6.011,31.110
6.012,30.927
6.012,31.027
6.013,31.367
6.013,31.106
6.011,31.400
6.011,31.116
6.013,31.042
6.012,31.004
6.012,31.212
6.012,30.976
6.011,30.922
6.010,31.118
6.012,31.075
6.010,31.072
6.010,30.717
6.009,31.125
6.009,30.972
6.010,30.979
6.011,30.775
2.726,30.118
2.726,30.534
2.726,30.169
2.727,30.340
2.727,30.622
2.726,30.649
2.726,30.399
3.309,29.971
3.309,30.379
3.308,30.208
3.307,30.413
3.307,30.197
3.308,30.139
6.009,31.061
6.008,30.958
6.009,31.013
6.010,30.967
6.012,30.923
6.010,30.863
6.010,30.525
6.011,30.943
6.010,31.065
3.282,30.284
3.282,30.694
3.283,30.408
3.282,30.542
3.282,30.410
3.282,30.119
3.281,30.367
3.281,31.334
3.280,31.237
3.280,30.588
2.759,30.855
2.758,30.783
2.759,30.932
6.012,31.144
6.012,31.095
6.012,30.394
6.013,30.420
6.011,30.418
6.010,30.293
6.011,30.530
6.012,30.267
6.013,30.462
6.012,30.855
6.015,30.888
6.016,30.713
6.016,30.640
6.015,30.575
6.014,30.789
6.012,30.865
6.012,31.147
6.015,30.919
6.015,30.747
6.016,31.024
6.014,30.775
6.014,30.686
6.014,30.694
6.012,30.626
6.011,30.751
6.012,30.652
6.010,30.606
6.010,30.731
6.012,30.857
6.011,30.853
6.010,30.556
6.014,30.615
6.014,31.036
6.014,31.032
6.015,30.885
6.016,30.841
6.016,31.016
6.016,30.986
6.016,30.719
6.015,31.030
6.015,30.802
6.016,30.828
6.015,30.964
6.015,31.028
6.013,30.883
6.014,30.797
6.014,30.775
6.015,31.029
6.013,30.933
6.014,30.941
6.013,30.398
6.013,30.627
6.013,30.535
3.039,30.199
2.456,29.952
2.455,30.385
2.455,30.077
2.455,30.296
2.455,29.919
2.454,29.913
2.454,30.129
2.454,29.827
2.452,30.038
2.453,29.785
2.452,29.888
2.453,29.987
6.012,30.630
6.012,30.805
6.014,30.707
6.013,30.818
6.013,30.686
6.012,30.706
6.012,30.985
6.011,30.840
6.012,30.921
2.728,29.926
2.453,30.995
2.453,31.164
2.452,30.642
2.453,30.719
2.452,30.895
2.452,30.708
2.452,30.897
2.453,30.793
2.453,30.865
2.452,30.680
2.452,30.950
2.452,30.924
6.013,31.959
6.012,31.859
6.013,31.861
6.011,31.825
6.011,31.899
6.011,31.885
6.012,31.797
6.011,31.927
6.012,31.819
3.219,30.875
2.454,31.148
2.454,31.035
2.454,31.049
2.453,30.871
2.453,31.035
2.453,31.010
2.453,30.855
2.453,30.945
2.453,30.773
2.454,30.596
2.452,30.981
2.452,30.943
6.011,30.981
6.013,31.056
6.012,30.796
6.012,30.744
6.012,30.711
6.012,30.738
6.013,30.810
6.012,30.896
6.013,30.993
2.454,29.719
2.454,30.065
2.454,29.986
2.454,30.036
2.452,29.965
2.453,30.120
2.453,29.951
2.453,29.915
2.453,30.013
2.452,30.048
2.452,29.888
2.453,29.992
2.452,30.212
6.012,30.816
6.013,31.159
6.013,30.946
6.011,30.774
6.011,30.885
6.011,30.675
6.011,30.720
6.012,30.824
6.011,30.861
2.453,30.054
2.453,30.121
2.454,30.300
2.454,30.044
2.454,30.236
2.454,30.340
2.454,30.276
2.453,30.058
2.454,29.970
2.454,29.899
2.453,30.048
2.453,29.970
2.453,30.048
6.012,31.152
6.013,30.899
6.014,30.840
6.012,30.988
6.012,30.946
6.011,30.826
6.012,31.087
6.013,31.045
6.011,31.159
6.013,30.700
6.013,30.822
6.014,30.580
6.014,30.805
6.014,30.643
6.015,30.708
6.015,30.653
6.016,30.982
6.014,30.681
6.016,30.767
6.016,30.764
6.016,30.590
6.016,30.611
6.015,30.649
6.015,30.725
6.015,30.842
6.014,30.780
6.014,30.799
6.014,30.565
6.014,30.839
6.014,30.904
6.013,30.471
6.014,30.639
6.013,30.665
6.014,30.791
6.014,30.757
6.016,30.829
6.014,30.815
6.014,30.813
6.015,30.811
6.014,30.785
6.015,30.791
6.014,31.007
6.014,30.812
6.014,30.979
6.014,30.912
6.012,31.069
6.014,31.227
6.013,30.917
6.014,30.966
6.012,30.925
6.014,30.915
6.012,30.936
6.012,30.953
2.761,29.878
2.760,30.039
2.761,29.913
2.761,29.962
2.759,29.941
2.758,29.776
2.758,29.905
2.759,30.055
2.758,30.223
2.759,29.899
2.759,30.023
2.758,29.880
2.759,29.961
6.012,30.863
6.014,30.875
6.012,30.708
6.011,30.653
6.011,30.625
6.011,30.924
6.013,30.349
6.010,30.631
6.011,30.515
2.759,29.947
2.759,29.852
2.759,29.768
2.759,29.960
2.760,30.152
2.759,30.168
2.759,29.920
2.760,30.105
2.760,29.874
2.760,30.119
2.759,30.105
2.759,29.825
2.759,29.755
6.011,30.835
6.009,30.600
6.009,30.771
6.010,30.967
6.011,30.650
6.011,30.625
6.011,30.705
6.010,30.884
6.010,30.718
2.759,30.026
2.759,29.814
2.759,30.076
2.759,30.127
2.759,30.143
2.759,30.064
2.759,29.881
2.759,30.048
2.759,30.146
2.759,29.932
2.758,29.850
2.758,30.016
2.758,30.057
6.011,30.541
6.009,30.623
6.010,30.701
6.009,30.561
6.009,30.921
6.011,30.633
6.011,30.534
6.013,30.563
6.012,30.589
2.758,29.983
2.758,30.126
2.758,30.083
2.758,30.010
2.758,29.891
2.759,30.301
2.759,30.038
2.758,30.123
2.758,30.032
2.758,30.059
