DOL,CD,FI3312A
43.000,6.013,28.914
43.042,6.014,28.829
43.083,6.015,28.869
43.125,6.014,28.809
43.167,6.014,28.537
43.208,6.013,28.176
43.250,6.012,28.266
43.292,6.013,28.827
43.375,6.012,28.474
43.417,6.013,28.949
43.458,6.013,28.801
43.500,6.013,28.805
43.542,6.015,28.912
43.583,6.015,28.445
43.625,6.016,28.043
43.667,6.015,28.869
43.708,6.014,28.597
43.750,6.015,28.139
43.792,6.014,28.801
43.833,6.014,28.258
43.875,6.014,28.227
43.958,6.014,28.576
44.000,6.014,28.785
44.042,6.014,28.328
44.083,6.014,28.495
44.125,6.012,28.856
44.167,6.012,28.254
44.208,6.013,28.755
44.250,6.015,28.485
44.292,6.012,28.463
44.375,6.012,28.883
44.417,6.013,28.829
44.458,6.013,28.486
44.500,6.015,28.987
44.542,6.017,28.990
44.583,6.013,29.085
44.625,6.014,29.143
44.667,6.015,28.888
44.708,6.014,28.968
44.750,6.015,28.303
44.792,6.015,28.231
44.833,6.014,28.327
44.875,6.013,28.710
44.958,6.015,28.142
45.000,6.013,28.726
45.042,6.013,28.845
45.083,6.014,28.644
45.125,6.014,28.200
45.167,6.012,28.355
45.208,6.013,28.343
45.250,6.014,28.438
45.292,6.012,28.746
45.375,6.013,28.166
45.417,6.013,28.032
45.458,6.014,28.381
45.500,6.014,28.575
45.542,6.014,28.280
45.583,6.015,28.891
45.625,6.016,28.868
45.667,6.016,28.142
45.708,6.014,28.854
45.750,6.016,28.698
45.792,6.015,28.762
45.833,6.016,29.055
45.875,6.014,28.915
45.958,6.012,28.437
46.000,6.014,28.790
46.042,6.014,28.121
46.083,6.015,28.817
46.125,6.014,28.662
46.167,6.014,28.036
46.208,6.014,28.186
46.250,6.016,28.838
46.292,6.017,28.636
46.375,6.014,29.564
46.417,6.014,29.317
46.458,6.018,29.660
46.500,6.016,29.465
46.542,6.018,29.205
46.583,6.017,29.456
46.625,6.015,29.061
46.667,6.016,29.575
46.708,6.015,29.086
46.750,6.019,29.090
46.792,6.016,29.478
