DOL,CD
29.375,3.047
29.417,2.454
29.458,2.454
29.500,2.455
29.542,2.454
29.583,2.453
29.625,2.454
29.667,2.453
29.708,2.452
29.750,2.454
29.792,2.452
29.833,2.453
29.875,2.452
29.958,6.012
30.000,6.012
30.042,6.012
30.083,6.013
30.125,6.014
30.167,6.012
30.208,6.014
30.250,6.013
30.292,6.012
30.375,4.294
30.417,2.452
30.458,2.451
30.500,2.454
30.542,2.453
30.583,2.453
30.625,2.452
30.667,2.453
30.708,2.453
30.750,2.453
30.792,2.453
30.833,2.453
30.875,2.453
30.958,6.012
31.000,6.011
31.042,6.012
31.083,6.012
31.125,6.011
31.167,6.011
31.208,6.012
31.250,6.012
31.292,6.013
31.375,2.456
31.417,2.454
31.458,2.455
31.500,2.454
31.542,2.454
31.583,2.452
31.625,2.454
31.667,2.453
31.708,2.453
31.750,2.451
31.792,2.450
31.833,2.451
31.875,2.451
31.958,6.010
32.000,6.010
32.042,6.011
32.083,6.009
32.125,6.011
32.167,6.011
32.208,6.010
32.250,6.009
32.292,6.011
32.375,3.372
32.417,2.452
32.458,2.454
32.500,2.455
32.542,2.456
32.583,2.456
32.625,2.455
32.667,2.455
32.708,2.455
32.750,2.454
32.792,2.455
32.833,2.454
32.875,2.453
32.958,6.010
33.000,6.010
33.042,6.011
33.083,6.011
33.125,6.011
33.167,6.008
33.208,6.008
33.250,6.010
33.292,6.010
33.375,6.010
33.417,6.008
33.458,6.012
33.500,6.011
33.542,6.012
33.583,6.013
33.625,6.010
33.667,6.012
33.708,6.010
33.750,6.010
33.792,6.009
33.833,6.008
33.875,6.007
33.958,6.006
34.000,6.006
34.042,6.005
34.083,6.006
34.125,6.006
34.167,6.005
34.208,6.005
34.250,6.003
34.292,6.003
34.375,6.005
34.417,6.006
34.458,6.009
34.500,6.011
34.542,6.011
34.583,6.010
34.625,6.012
34.667,6.013
34.708,6.013
34.750,6.012
34.792,6.011
34.833,6.012
34.875,6.011
34.958,6.010
35.000,6.009
35.042,6.009
35.083,6.008
35.125,6.009
35.167,6.008
35.208,6.008
35.250,6.008
35.292,6.007
35.375,6.009
35.417,6.011
35.458,6.012
35.500,6.012
35.542,6.014
35.583,6.013
35.625,6.012
35.667,6.012
35.708,6.013
35.750,6.013
35.792,6.012
35.833,6.012
35.875,6.013
35.958,6.012
36.000,6.009
36.042,6.011
36.083,6.012
36.125,6.010
36.167,6.011
36.208,6.011
36.250,6.010
36.292,6.010
36.375,6.012
36.417,6.013
36.458,6.013
36.500,6.013
36.542,6.015
36.583,6.016
36.625,6.016
36.667,6.014
36.708,6.015
36.750,6.013
36.792,6.012
36.833,6.013
36.875,6.011
36.958,6.011
37.000,6.014
37.042,6.014
37.083,6.013
37.125,6.014
37.167,6.013
37.208,6.011
37.250,6.011
37.292,6.012
37.375,6.014
37.417,6.015
37.458,6.017
37.500,6.015
37.542,6.015
37.583,6.017
37.625,6.017
37.667,6.015
37.708,6.014
37.750,6.013
37.792,6.014
37.833,6.013
37.875,6.014
37.958,6.012
38.000,6.013
38.042,6.014
38.083,6.013
38.125,6.013
38.167,6.014
38.208,6.013
38.250,6.013
38.292,6.013
38.375,3.677
38.417,3.678
38.458,3.678
38.500,3.678
38.542,3.679
38.583,3.678
38.625,3.678
38.667,3.677
38.708,3.677
38.750,3.677
38.792,3.677
38.833,3.678
38.875,3.677
38.958,6.012
39.000,6.013
39.042,6.010
39.083,6.010
39.125,6.012
39.167,6.013
39.208,6.012
39.250,6.011
39.292,6.011
39.375,3.677
39.417,3.677
39.458,3.679
39.500,3.678
39.542,3.678
39.583,3.677
39.625,3.679
39.667,3.677
39.708,3.676
39.750,3.676
39.792,3.676
39.833,3.675
39.875,3.676
39.958,6.012
40.000,6.010
40.042,6.011
40.083,6.011
40.125,6.012
40.167,6.011
40.208,6.011
40.250,6.010
40.292,6.012
40.375,6.011
40.417,6.014
40.458,6.013
40.500,6.014
40.542,6.014
40.583,6.015
40.625,6.012
40.667,6.013
40.708,6.014
40.750,6.014
40.792,6.013
40.833,6.012
40.875,6.012
40.958,6.012
41.000,6.014
41.042,6.012
41.083,6.012
41.125,6.011
41.167,6.011
41.208,6.013
41.250,6.012
41.292,6.012
41.375,6.012
41.417,6.013
41.458,6.012
41.500,6.013
41.542,6.013
41.583,6.013
41.625,6.013
41.667,6.013
41.708,6.013
41.750,6.014
41.792,6.015
41.833,6.012
41.875,6.012
41.958,6.014
42.000,6.014
42.042,6.014
42.083,6.012
42.125,6.013
42.167,6.014
42.208,6.012
42.250,6.012
42.292,6.011
42.375,6.012
42.417,6.012
42.458,6.013
42.500,6.013
42.542,6.013
42.583,6.013
42.625,6.014
42.667,6.013
42.708,6.012
42.750,6.013
42.792,6.012
42.833,6.013
42.875,6.013
42.958,6.012
43.000,6.013
43.042,6.014
43.083,6.015
43.125,6.014
43.167,6.014
43.208,6.013
43.250,6.012
43.292,6.013
43.375,6.012
43.417,6.013
43.458,6.013
43.500,6.013
43.542,6.015
43.583,6.015
43.625,6.016
43.667,6.015
43.708,6.014
43.750,6.015
43.792,6.014
43.833,6.014
43.875,6.014
43.958,6.014
44.000,6.014
44.042,6.014
44.083,6.014
44.125,6.012
44.167,6.012
44.208,6.013
44.250,6.015
44.292,6.012
44.375,6.012
44.417,6.013
44.458,6.013
44.500,6.015
44.542,6.017
44.583,6.013
44.625,6.014
44.667,6.015
44.708,6.014
44.750,6.015
44.792,6.015
44.833,6.014
44.875,6.013
44.958,6.015
45.000,6.013
45.042,6.013
45.083,6.014
45.125,6.014
45.167,6.012
45.208,6.013
45.250,6.014
45.292,6.012
45.375,6.013
45.417,6.013
45.458,6.014
45.500,6.014
45.542,6.014
45.583,6.015
45.625,6.016
45.667,6.016
45.708,6.014
45.750,6.016
45.792,6.015
45.833,6.016
45.875,6.014
45.958,6.012
46.000,6.014
46.042,6.014
46.083,6.015
46.125,6.014
46.167,6.014
46.208,6.014
46.250,6.016
46.292,6.017
46.375,6.014
46.417,6.014
46.458,6.018
46.500,6.016
46.542,6.018
46.583,6.017
46.625,6.015
46.667,6.016
46.708,6.015
46.750,6.019
46.792,6.016
46.833,6.017
46.875,6.017
46.958,6.017
47.000,6.014
47.042,6.014
47.083,6.015
47.125,6.014
47.167,6.012
47.208,6.012
47.250,6.013
47.292,6.014
47.375,6.014
47.417,6.014
47.458,6.015
47.500,6.015
47.542,6.015
47.583,6.016
47.625,6.015
47.667,6.016
47.708,6.016
47.750,6.014
47.792,6.014
47.833,6.016
47.875,6.015
47.958,6.015
48.000,6.014
48.042,6.014
48.083,6.015
48.125,6.014
48.167,6.013
48.208,6.014
48.250,6.014
48.292,6.013
48.375,6.014
48.417,6.014
48.458,6.013
48.500,5.211
48.542,5.578
48.583,6.011
48.625,6.013
48.667,6.013
48.708,6.014
48.750,6.013
48.792,6.010
48.833,6.012
48.875,6.014
48.958,6.012
49.000,6.014
49.042,6.015
49.083,6.013
49.125,6.012
49.167,6.013
49.208,6.011
49.250,6.012
49.292,6.011
49.375,6.013
49.417,6.014
49.458,5.672
49.500,5.671
49.542,6.010
49.583,6.008
49.625,6.008
49.667,6.009
49.708,6.010
49.750,6.011
49.792,6.010
49.833,6.010
49.875,6.011
49.958,6.009
50.000,6.010
50.042,6.011
50.083,6.009
50.125,6.009
50.167,6.009
50.208,6.010
50.250,6.010
50.292,6.009
50.375,6.009
50.417,6.010
50.458,6.009
50.500,6.010
50.542,6.011
50.583,6.010
50.625,6.011
50.667,6.010
50.708,6.010
50.750,6.010
50.792,6.012
50.833,6.011
50.875,6.011
50.958,6.011
51.000,6.010
51.042,6.012
51.083,6.011
51.125,6.011
51.167,6.011
51.208,6.010
51.250,6.010
51.292,6.010
51.375,6.011
51.417,6.014
51.458,6.014
51.500,6.014
51.542,6.014
51.583,6.013
51.625,6.014
51.667,6.014
51.708,6.013
51.750,6.013
51.792,6.014
51.833,6.014
51.875,6.014
51.958,6.014
52.000,6.013
52.042,6.014
52.083,6.015
52.125,6.013
52.167,6.012
52.208,6.012
52.250,6.012
52.292,6.011
52.375,6.012
52.417,6.013
52.458,6.012
52.500,6.013
52.542,6.013
52.583,6.014
52.625,6.012
52.667,6.012
52.708,6.013
52.750,6.013
52.792,6.012
52.833,6.012
52.875,6.014
52.958,6.012
53.000,6.012
53.042,6.013
53.083,6.014
53.125,6.014
53.167,6.014
53.208,6.013
53.250,6.013
53.292,6.013
53.375,6.014
53.417,6.014
53.458,6.014
53.500,6.015
53.542,6.014
53.583,6.015
53.625,6.014
53.667,6.014
53.708,6.015
53.750,6.014
53.792,6.014
53.833,6.013
53.875,6.014
53.958,6.014
54.000,6.014
54.042,6.014
54.083,6.013
54.125,6.014
54.167,6.013
54.208,6.015
54.250,6.014
54.292,6.014
54.375,6.014
54.417,6.013
54.458,6.014
54.500,6.015
54.542,6.014
54.583,6.014
54.625,6.015
54.667,6.015
54.708,6.015
54.750,6.015
54.792,6.016
54.833,6.014
54.875,6.015
54.958,6.014
55.000,6.015
55.042,6.013
55.083,6.014
55.125,6.012
55.167,6.012
55.208,6.013
55.250,6.013
55.292,6.013
55.375,6.011
55.417,6.014
55.458,6.014
55.500,6.014
55.542,6.014
55.583,6.016
55.625,6.014
55.667,6.015
55.708,6.014
55.750,6.015
55.792,6.015
55.833,6.014
55.875,6.014
55.958,6.015
56.000,6.013
56.042,6.013
56.083,6.013
56.125,6.014
56.167,6.013
56.208,6.013
56.250,6.015
56.292,6.013
56.375,6.014
56.417,6.014
56.458,6.014
56.500,6.015
56.542,6.014
56.583,6.014
56.625,6.015
56.667,6.015
56.708,6.015
56.750,6.015
56.792,6.014
56.833,6.014
56.875,6.015
56.958,6.013
57.000,6.014
57.042,6.015
