CD,FI3312A,TI3302A
6.013,29.882,88.814
6.013,29.559,88.882
6.014,29.712,88.821
6.012,29.778,88.787
6.012,29.831,88.745
6.012,29.909,88.795
6.011,29.797,88.795
6.012,29.702,88.802
6.012,29.845,88.838
6.010,29.229,88.613
6.010,29.687,88.690
6.011,29.873,88.703
6.009,29.682,88.702
6.011,29.700,88.740
6.011,29.519,88.861
6.011,29.688,88.886
6.013,29.658,88.861
6.012,29.432,88.864
6.012,29.612,88.829
6.012,29.234,88.873
6.012,29.137,88.801
6.011,29.355,88.763
6.011,29.839,88.780
6.015,29.223,88.772
6.012,29.820,88.797
6.012,29.864,88.755
6.012,29.632,88.734
6.013,29.251,88.745
6.012,29.774,88.731
6.012,29.458,88.732
6.013,29.850,88.734
6.012,29.828,88.774
6.012,29.779,88.800
6.011,29.837,88.819
6.012,28.960,88.823
6.013,29.165,88.874
6.014,28.988,88.858
6.014,29.866,88.836
6.013,29.632,88.802
6.013,29.892,88.779
6.013,29.794,88.783
6.014,29.879,88.767
6.012,29.760,88.748
6.013,29.833,88.755
6.012,29.581,88.738
6.013,29.923,88.780
6.012,29.805,88.757
6.012,29.929,88.774
6.010,30.042,88.760
6.011,29.624,88.774
6.011,29.737,88.794
6.011,29.685,88.804
6.011,29.795,88.793
6.013,29.800,88.809
6.013,29.632,88.896
6.013,29.927,88.898
6.013,29.745,88.861
6.013,29.967,88.863
6.014,29.680,88.899
6.014,29.835,88.912
6.014,29.902,88.886
6.014,29.106,88.863
6.012,29.825,88.812
6.012,29.953,88.796
6.012,29.880,88.778
6.012,29.827,88.801
6.013,29.881,88.803
6.012,29.723,88.832
6.014,29.804,88.830
6.013,29.780,88.820
6.015,29.824,88.769
6.015,29.736,88.784
6.013,29.651,88.752
6.014,29.802,88.799
6.012,29.889,88.785
6.013,29.913,88.811
6.013,29.889,88.859
6.013,30.014,88.894
6.014,29.381,88.913
6.014,29.884,88.960
6.015,29.805,88.982
6.015,29.656,88.946
6.014,29.671,89.021
6.015,29.827,88.878
6.013,29.814,88.868
6.012,29.620,88.851
6.012,29.835,88.849
6.013,29.701,88.892
6.013,29.968,88.925
6.013,29.913,88.836
6.012,29.818,88.814
6.012,29.673,88.792
6.014,29.864,88.793
6.012,29.684,88.816
6.012,29.837,88.840
6.012,29.990,88.830
6.013,29.902,88.840
6.013,29.907,88.822
6.014,29.575,88.844
6.014,29.987,88.890
6.013,29.971,88.904
6.015,29.678,88.971
6.015,29.772,88.958
6.015,29.872,88.928
6.014,29.737,88.900
6.014,29.734,88.884
6.012,30.046,88.865
6.014,29.790,88.838
6.013,29.737,88.850
6.014,29.760,88.806
6.015,29.981,88.836
6.012,29.637,88.892
6.013,29.738,88.874
6.012,29.519,88.865
6.013,29.561,88.857
6.013,29.132,88.877
6.014,29.943,88.835
6.012,29.858,88.860
6.013,29.158,88.884
6.013,29.986,88.901
2.547,15.496,85.618
2.455,15.722,85.085
2.331,17.235,85.072
6.011,28.539,88.579
6.013,28.528,88.804
6.012,28.539,88.589
6.013,28.022,88.639
6.013,28.458,88.702
6.014,28.536,88.680
6.013,28.134,88.563
6.013,28.091,88.566
6.012,27.955,88.701
3.047,16.188,86.559
2.454,14.097,84.373
2.454,13.972,84.099
2.455,13.949,84.076
2.454,13.973,84.050
2.453,13.973,83.987
2.454,13.976,84.038
2.453,13.893,84.007
2.452,13.781,84.037
2.454,13.851,84.079
2.452,13.858,84.032
2.453,13.784,83.983
2.452,13.747,83.947
6.012,28.888,88.426
6.012,28.566,88.906
6.012,28.278,88.819
6.013,28.608,88.785
6.014,28.223,88.807
6.012,28.359,88.840
6.014,28.875,88.857
6.013,28.528,88.902
6.012,28.434,88.900
4.294,25.381,89.166
2.452,14.447,85.107
2.451,14.397,84.424
2.454,14.474,84.836
2.453,14.476,85.091
2.453,14.416,85.100
2.452,14.328,85.066
2.453,14.412,85.244
2.453,14.446,85.313
2.453,14.507,85.316
2.453,14.500,85.275
2.453,14.492,85.266
2.453,14.473,85.259
6.012,30.025,88.721
6.011,30.045,88.731
6.012,29.969,88.779
6.012,29.975,88.846
6.011,30.036,88.842
6.011,30.133,88.853
6.012,30.031,88.880
6.012,30.106,88.879
6.013,30.203,88.851
2.456,14.873,86.254
2.454,14.511,84.898
2.455,14.567,84.641
2.454,14.543,84.436
2.454,14.424,84.257
2.452,14.295,84.209
2.454,14.431,84.333
2.453,14.490,84.407
2.453,14.262,84.178
2.451,14.206,84.125
2.450,14.210,84.269
2.451,14.247,84.208
2.451,14.314,84.178
6.010,29.725,88.583
6.010,29.682,88.881
6.011,29.735,88.926
6.009,29.627,88.980
6.011,29.938,88.969
6.011,29.572,88.959
6.010,29.863,88.965
6.009,29.761,88.984
6.011,29.943,88.835
3.372,18.977,86.505
2.452,13.220,84.218
2.454,13.314,83.729
2.455,13.367,83.624
2.456,13.552,83.621
2.456,13.592,83.645
2.455,14.006,83.732
2.455,14.140,84.240
2.455,14.100,84.244
2.454,14.074,84.287
2.455,14.030,84.234
2.454,14.023,84.173
2.453,13.964,84.060
6.010,29.561,88.979
6.010,28.799,88.883
6.011,29.264,88.944
6.011,29.392,89.050
6.011,29.243,89.065
6.008,28.773,89.028
6.008,29.241,88.983
6.010,29.291,88.950
6.010,29.094,88.974
6.010,29.171,89.081
6.008,29.270,89.071
6.012,29.215,89.139
6.011,28.541,89.182
6.012,29.190,89.133
6.013,28.871,89.105
6.010,29.234,89.091
6.012,29.182,89.062
6.010,29.097,89.018
6.010,29.027,89.020
6.009,28.429,88.983
6.008,29.008,88.977
6.007,29.036,88.970
6.006,29.088,88.968
6.006,29.161,88.926
6.005,29.094,89.206
6.006,29.192,89.271
6.006,29.207,89.285
