CV,DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
3.058,8.125,6.009,29.368,31.577,88.314,86.595
3.059,8.167,6.01,29.432,31.352,88.326,86.621
3.059,8.208,6.009,29.07,31.435,88.318,86.591
3.059,8.25,6.009,29.342,31.384,88.384,86.639
3.058,8.292,6.011,29.524,31.461,88.348,86.653
3.058,8.375,6.01,29.266,31.6,88.326,86.634
3.058,8.417,6.01,29.445,31.47,88.373,86.623
3.057,8.458,6.011,29.362,31.448,88.368,86.692
3.058,8.5,6.011,29.362,31.59,88.355,86.744
3.058,8.542,6.011,29.376,31.705,88.353,86.652
3.058,8.583,6.012,29.405,31.464,88.357,86.746
3.058,8.625,6.012,29.501,31.716,88.353,86.703
3.057,8.667,6.012,29.42,31.585,88.383,86.753
3.058,8.708,6.011,29.432,31.599,88.346,86.661
3.059,8.75,6.011,29.492,31.573,88.363,86.704
3.059,8.792,6.011,29.44,31.747,88.345,86.709
3.055,8.833,6.011,29.367,31.801,88.653,86.944
3.055,8.875,6.011,29.387,31.623,88.645,86.976
3.055,8.958,6.014,29.651,31.846,88.756,87.081
3.055,9,6.01,29.713,31.758,88.716,87.08
3.055,9.042,6.011,29.678,31.768,88.729,87.118
3.055,9.083,6.011,29.071,31.613,88.717,87.073
3.055,9.125,6.014,29.342,31.519,88.709,87.083
3.055,9.167,6.012,29.572,31.44,88.699,86.968
3.055,9.208,6.012,29.48,31.268,88.713,87.026
3.055,9.25,6.011,29.57,31.447,88.748,87.057
3.055,9.292,6.011,29.608,31.734,88.74,87.089
3.055,9.375,6.012,29.546,31.605,88.71,87.075
3.054,9.417,6.013,29.434,31.574,88.705,87.127
3.054,9.458,6.014,29.722,31.756,88.758,87.173
3.055,9.5,6.013,29.646,31.926,88.762,87.196
3.055,9.542,6.013,29.686,31.48,88.736,87.153
3.056,9.583,6.012,29.553,31.363,88.752,87.208
3.055,9.625,6.013,29.561,31.534,88.735,87.216
3.055,9.667,6.013,29.594,31.621,88.701,87.124
3.055,9.708,6.013,29.489,31.559,88.731,87.108
3.055,9.75,6.012,29.687,31.637,88.708,87.034
3.055,9.792,6.011,29.799,31.668,88.683,86.985
3.055,9.833,6.011,29.747,31.545,88.718,87.045
3.055,9.875,6.011,29.646,31.702,88.698,87.03
3.055,9.958,6.011,29.567,31.612,88.679,86.996
3.055,10,6.009,29.634,31.653,88.69,87.008
3.055,10.042,6.01,29.689,31.676,88.673,87.024
3.055,10.083,6.012,29.766,31.835,88.688,87.032
3.055,10.125,6.011,29.016,31.698,88.673,86.963
3.055,10.167,6.01,29.659,31.576,88.659,86.99
3.055,10.208,6.013,29.651,31.587,88.662,87.02
3.055,10.25,6.011,29.542,31.648,88.659,86.966
3.055,10.292,6.011,29.754,31.417,88.68,87.022
3.055,10.375,6.012,29.66,31.74,88.754,87.073
3.055,10.417,6.012,29.614,31.834,88.791,87.182
3.055,10.458,6.012,29.651,31.708,88.751,87.202
3.055,10.5,6.012,29.629,31.578,88.807,87.237
3.055,10.542,6.012,29.706,31.606,88.746,87.229
3.055,10.583,6.013,29.688,31.493,88.758,87.211
3.055,10.625,6.013,29.768,31.628,88.7,87.173
3.056,10.667,6.013,29.371,31.51,88.691,87.117
3.056,10.708,6.012,29.794,31.767,88.7,87.122
3.056,10.75,6.011,29.729,31.961,88.73,87.098
3.056,10.792,6.012,29.739,31.677,88.729,87.063
3.056,10.833,6.01,29.609,31.665,88.724,87.064
3.055,10.875,6.011,29.779,31.902,88.73,87.072
3.055,10.958,6.01,29.855,31.607,88.704,87.053
3.055,11,6.01,29.452,31.715,88.716,87.047
3.055,11.042,6.009,29.569,31.586,88.71,87.044
3.055,11.083,6.011,29.593,31.798,88.69,87.027
3.056,11.125,6.01,29.628,31.618,88.694,87.017
3.056,11.167,6.011,29.589,31.64,88.674,87.028
3.056,11.208,6.011,29.603,31.376,88.656,87.022
3.056,11.25,6.011,29.475,31.473,88.687,87.006
3.057,11.292,6.011,29.611,31.665,88.701,87.037
3.056,11.375,6.009,29.788,31.415,88.725,87.082
3.055,11.417,6.012,29.575,31.661,88.765,87.179
3.055,11.458,6.013,29.811,31.632,88.774,87.238
3.056,11.5,6.012,29.771,31.707,88.799,87.294
3.056,11.542,6.012,29.858,31.785,88.793,87.308
3.056,11.583,6.013,29.653,31.538,88.74,87.212
3.058,11.625,6.013,29.628,31.879,88.693,87.134
3.056,11.667,6.012,29.581,31.652,88.672,87.121
3.056,11.708,6.013,29.923,31.695,88.701,87.11
3.056,11.75,6.012,29.814,31.622,88.683,87.085
3.056,11.792,6.012,29.946,31.648,88.691,87.044
3.056,11.833,6.011,29.757,31.673,88.72,87.03
3.056,11.875,6.011,29.159,31.625,88.76,87.077
3.055,11.958,6.013,29.74,31.826,88.742,87.072
3.055,12,6.01,29.676,31.757,88.712,87.054
3.056,12.042,6.01,29.733,31.734,88.7,87.033
3.056,12.083,6.011,29.712,31.676,88.729,87.055
3.056,12.125,6.01,29.706,31.539,88.725,87.013
3.056,12.167,6.012,29.393,31.502,88.696,87.049
3.056,12.208,6.011,29.062,31.638,88.695,87.024
3.056,12.25,6.01,29.618,31.541,88.715,87.023
3.056,12.292,6.011,29.589,31.63,88.728,87.065
3.055,12.375,6.01,29.627,31.56,88.784,87.168
3.055,12.417,6.013,29.661,32.056,88.809,87.218
3.056,12.458,6.013,29.77,31.377,88.825,87.296
3.056,12.5,6.013,29.732,31.794,88.835,87.288
3.056,12.542,6.012,29.698,31.629,88.825,87.285
3.056,12.583,6.014,29.836,31.716,88.809,87.311
3.056,12.625,6.014,29.826,31.75,88.766,87.246
3.056,12.667,6.014,29.826,31.419,88.684,87.187
3.055,12.708,6.013,29.792,31.796,88.651,87.129
3.056,12.75,6.014,29.9,31.516,88.7,87.079
3.057,12.792,6.012,29.66,31.561,88.735,87.063
3.057,12.833,6.012,29.83,31.595,88.795,87.1
3.057,12.875,6.011,29.721,31.862,88.775,87.127
3.055,12.958,6.012,29.74,31.666,88.757,87.079
3.055,13,6.012,29.673,31.512,88.732,87.098
3.055,13.042,6.011,29.55,31.699,88.727,87.044
3.055,13.083,6.012,29.689,31.623,88.703,87.051
3.056,13.125,6.015,29.792,31.855,88.727,87.046
3.056,13.167,6.013,29.02,31.8,88.726,87.009
3.056,13.208,6.011,29.716,31.711,88.728,87.033
3.056,13.25,6.013,29.441,31.787,88.734,86.984
3.056,13.292,6.012,29.691,31.51,88.736,87.078
3.056,13.375,6.013,29.687,31.754,88.775,87.113
3.056,13.417,6.013,29.685,31.517,88.786,87.22
3.056,13.458,6.014,29.417,31.762,88.842,87.284
3.056,13.5,6.014,29.636,31.622,88.841,87.336
3.056,13.542,6.015,29.22,31.731,88.829,87.345
3.056,13.583,6.015,29.702,31.542,88.779,87.294
3.056,13.625,6.013,29.838,31.638,88.708,87.179
3.056,13.667,6.014,29.437,31.756,88.672,87.062
3.055,13.708,6.013,29.711,31.65,88.66,87.062
3.057,13.75,6.013,29.716,31.722,88.714,87.09
3.057,13.792,6.011,29.872,31.724,88.737,87.054
3.056,13.833,6.01,29.534,31.561,88.688,87.074
3.055,13.875,6.012,29.662,31.511,88.717,87.091
3.055,13.958,6.012,29.779,31.826,88.7,87.061
3.055,14,6.011,29.797,31.477,88.737,87.067
3.055,14.042,6.012,29.658,31.484,88.704,87.045
3.056,14.083,6.013,29.796,31.592,88.731,87.024
3.056,14.125,6.014,29.657,31.547,88.71,87.07
3.056,14.167,6.013,28.938,31.558,88.722,87.079
3.056,14.208,6.013,29.738,31.583,88.717,87.064
3.056,14.25,6.013,29.799,31.622,88.758,87.113
3.056,14.292,6.014,29.755,31.636,88.764,87.102
3.055,14.375,6.013,29.377,31.702,88.814,87.218
3.053,14.417,5.982,29.848,31.648,88.765,87.198
3.056,14.458,6.013,29.983,31.639,88.838,87.289
3.056,14.5,6.013,29.619,31.74,88.853,87.334
3.057,14.542,6.014,29.812,31.757,88.847,87.31
3.057,14.583,6.012,29.805,31.496,88.829,87.264
3.057,14.625,6.014,29.46,31.637,88.794,87.127
3.056,14.667,6.013,29.581,31.632,88.786,87.192
3.056,14.708,6.013,29.093,31.548,88.699,87.09
3.057,14.75,6.012,29.074,31.755,88.662,87.045
3.057,14.792,6.013,29.739,31.343,88.693,87.002
3.057,14.833,6.012,29.652,31.608,88.759,87.1
3.057,14.875,6.012,29.318,31.716,88.709,87.072
3.056,14.958,6.014,29.391,31.446,88.72,87.118
3.057,15,6.011,29.652,31.408,88.739,87.097
3.057,15.042,6.011,29.854,31.823,88.781,87.116
3.057,15.083,6.011,29.724,31.686,88.756,87.038
3.057,15.125,6.011,29.67,31.626,88.744,87.099
3.057,15.167,6.011,29.902,31.7,88.727,87.082
3.057,15.208,6.01,29.674,31.475,88.748,87.091
3.057,15.25,6.01,29.809,31.603,88.751,87.082
3.056,15.292,6.013,29.853,31.644,88.731,87.094
3.056,15.375,6.014,29.491,31.725,88.718,87.101
3.055,15.417,6.014,29.191,31.956,88.75,87.159
3.055,15.458,6.013,29.838,31.675,88.775,87.24
3.056,15.5,6.013,29.721,31.619,88.793,87.264
3.057,15.542,6.014,29.699,31.552,88.839,87.328
3.057,15.583,6.015,29.632,31.662,88.828,87.297
3.057,15.625,6.015,29.731,31.495,88.735,87.169
3.056,15.667,6.014,29.66,31.598,88.692,87.193
3.056,15.708,6.014,29.831,31.741,88.567,86.986
3.056,15.75,6.014,29.72,31.742,88.581,86.965
3.057,15.792,6.012,29.85,31.733,88.633,87.052
3.057,15.833,6.014,29.896,31.654,88.714,87.054
3.057,15.875,6.013,29.31,31.646,88.706,87.018
3.055,15.958,6.013,29.722,31.784,88.631,87.072
3.056,16,6.012,29.623,31.718,88.645,87.064
3.057,16.042,6.013,29.874,31.703,88.681,87.085
3.057,16.083,6.012,29.696,31.464,88.619,86.991
3.056,16.125,6.011,29.819,31.439,88.635,87.029
3.056,16.167,6.011,29.421,31.627,88.627,86.998
3.056,16.208,6.014,28.992,31.613,88.626,87.001
3.056,16.25,6.013,29.603,31.593,88.626,86.99
3.057,16.292,6.011,29.857,31.506,88.671,87.018
3.057,16.375,6.012,29.677,31.752,88.732,87.156
3.056,16.417,6.013,29.82,31.532,88.783,87.161
3.056,16.458,6.014,29.793,31.48,88.762,87.228
3.056,16.5,6.014,29.1,31.691,88.752,87.211
3.056,16.542,6.014,29.802,31.287,88.739,87.21
3.057,16.583,6.014,29.717,31.506,88.765,87.199
3.056,16.625,6.013,29.163,31.686,88.737,87.246
3.056,16.667,6.015,29.245,31.679,88.768,87.238
3.056,16.708,6.014,29.497,31.584,88.71,87.126
3.056,16.75,6.014,29.715,31.815,88.705,87.064
3.056,16.792,6.013,29.701,31.464,88.694,87.037
3.055,16.833,6.012,29.571,31.743,88.719,87.119
3.056,16.875,6.013,29.419,31.884,88.738,87.209
3.056,16.958,6.013,29.356,31.698,88.792,87.177
3.056,17,6.014,29.452,31.753,88.794,87.111
3.056,17.042,6.012,29.591,31.672,88.775,87.157
3.056,17.083,6.013,29.549,31.688,88.796,87.152
3.056,17.125,6.01,29.619,31.723,88.762,87.119
3.055,17.167,6.012,28.791,31.661,88.75,87.118
3.055,17.208,6.012,28.755,31.582,88.733,87.099
3.055,17.25,6.011,29.13,31.899,88.746,87.12
3.055,17.292,6.011,29.317,31.902,88.776,87.137
3.056,17.375,6.013,29.526,31.681,88.794,87.199
3.056,17.417,6.012,29.57,31.55,88.815,87.212
3.056,17.458,6.013,29.336,31.369,88.806,87.264
3.056,17.5,6.012,29.337,31.274,88.88,87.256
3.055,17.542,6.014,28.833,31.578,88.9,87.364
3.055,17.583,6.014,29.452,31.651,88.845,87.335
3.057,17.625,6.013,29.428,31.654,88.833,87.294
3.055,17.667,6.013,28.829,31.456,88.833,87.301
3.056,17.708,6.013,29.487,31.562,88.751,87.262
