CD,FI3312A,FI3312B,TI3302A
6.012,29.074,31.755,88.662
6.013,29.739,31.343,88.693
6.012,29.652,31.608,88.759
6.012,29.318,31.716,88.709
6.014,29.391,31.446,88.720
6.011,29.652,31.408,88.739
6.011,29.854,31.823,88.781
6.011,29.724,31.686,88.756
6.011,29.670,31.626,88.744
6.011,29.902,31.700,88.727
6.010,29.674,31.475,88.748
6.010,29.809,31.603,88.751
6.013,29.853,31.644,88.731
6.014,29.491,31.725,88.718
6.014,29.191,31.956,88.750
6.013,29.838,31.675,88.775
6.013,29.721,31.619,88.793
6.014,29.699,31.552,88.839
6.015,29.632,31.662,88.828
6.015,29.731,31.495,88.735
6.014,29.660,31.598,88.692
6.014,29.831,31.741,88.567
6.014,29.720,31.742,88.581
6.012,29.850,31.733,88.633
6.014,29.896,31.654,88.714
6.013,29.310,31.646,88.706
6.013,29.722,31.784,88.631
6.012,29.623,31.718,88.645
6.013,29.874,31.703,88.681
6.012,29.696,31.464,88.619
6.011,29.819,31.439,88.635
6.011,29.421,31.627,88.627
6.014,28.992,31.613,88.626
6.013,29.603,31.593,88.626
6.011,29.857,31.506,88.671
6.012,29.677,31.752,88.732
6.013,29.820,31.532,88.783
6.014,29.793,31.480,88.762
6.014,29.100,31.691,88.752
6.014,29.802,31.287,88.739
6.014,29.717,31.506,88.765
6.013,29.163,31.686,88.737
6.015,29.245,31.679,88.768
6.014,29.497,31.584,88.710
6.014,29.715,31.815,88.705
6.013,29.701,31.464,88.694
6.012,29.571,31.743,88.719
6.013,29.419,31.884,88.738
6.013,29.356,31.698,88.792
6.014,29.452,31.753,88.794
6.012,29.591,31.672,88.775
6.013,29.549,31.688,88.796
6.010,29.619,31.723,88.762
6.012,28.791,31.661,88.750
6.012,28.755,31.582,88.733
6.011,29.130,31.899,88.746
6.011,29.317,31.902,88.776
6.013,29.526,31.681,88.794
6.012,29.570,31.550,88.815
6.013,29.336,31.369,88.806
6.012,29.337,31.274,88.880
6.014,28.833,31.578,88.900
6.014,29.452,31.651,88.845
6.013,29.428,31.654,88.833
6.013,28.829,31.456,88.833
6.013,29.487,31.562,88.751
6.013,29.581,31.733,88.754
6.013,28.759,31.590,88.761
6.012,29.202,31.704,88.787
6.013,29.785,31.673,88.784
6.012,29.126,31.405,88.814
6.012,29.557,31.661,88.786
6.012,28.791,31.468,88.777
6.010,29.557,31.455,88.758
6.012,29.210,31.575,88.758
6.010,28.844,31.709,88.751
6.010,29.370,31.731,88.764
6.010,29.650,31.610,88.759
6.010,28.880,31.494,88.791
6.011,29.533,31.647,88.774
6.011,29.681,31.572,88.806
6.012,29.297,31.622,88.807
6.011,29.524,31.535,88.733
6.010,29.537,31.502,88.625
6.009,29.551,31.410,88.591
6.009,29.432,31.447,88.638
6.009,29.474,31.821,88.728
6.009,29.807,31.817,88.727
6.010,29.388,31.790,88.755
6.011,29.645,31.548,88.757
6.010,29.413,31.799,88.803
6.009,28.950,31.503,88.765
6.010,29.465,31.488,88.721
6.009,29.523,31.495,88.745
6.009,29.504,31.472,88.739
6.010,29.493,31.434,88.755
6.012,29.334,31.181,88.783
6.011,29.350,31.691,88.766
6.012,29.502,31.570,88.776
6.011,28.884,31.690,88.790
