DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
9.667,6.013,29.594,31.621,88.701,87.124
9.708,6.013,29.489,31.559,88.731,87.108
9.750,6.012,29.687,31.637,88.708,87.034
9.792,6.011,29.799,31.668,88.683,86.985
9.833,6.011,29.747,31.545,88.718,87.045
9.875,6.011,29.646,31.702,88.698,87.030
9.958,6.011,29.567,31.612,88.679,86.996
10.000,6.009,29.634,31.653,88.690,87.008
10.042,6.010,29.689,31.676,88.673,87.024
10.083,6.012,29.766,31.835,88.688,87.032
10.125,6.011,29.016,31.698,88.673,86.963
10.167,6.010,29.659,31.576,88.659,86.990
10.208,6.013,29.651,31.587,88.662,87.020
10.250,6.011,29.542,31.648,88.659,86.966
10.292,6.011,29.754,31.417,88.680,87.022
10.375,6.012,29.660,31.740,88.754,87.073
10.417,6.012,29.614,31.834,88.791,87.182
10.458,6.012,29.651,31.708,88.751,87.202
10.500,6.012,29.629,31.578,88.807,87.237
10.542,6.012,29.706,31.606,88.746,87.229
10.583,6.013,29.688,31.493,88.758,87.211
10.625,6.013,29.768,31.628,88.700,87.173
10.667,6.013,29.371,31.510,88.691,87.117
10.708,6.012,29.794,31.767,88.700,87.122
10.750,6.011,29.729,31.961,88.730,87.098
10.792,6.012,29.739,31.677,88.729,87.063
10.833,6.010,29.609,31.665,88.724,87.064
10.875,6.011,29.779,31.902,88.730,87.072
10.958,6.010,29.855,31.607,88.704,87.053
11.000,6.010,29.452,31.715,88.716,87.047
11.042,6.009,29.569,31.586,88.710,87.044
11.083,6.011,29.593,31.798,88.690,87.027
11.125,6.010,29.628,31.618,88.694,87.017
11.167,6.011,29.589,31.640,88.674,87.028
11.208,6.011,29.603,31.376,88.656,87.022
11.250,6.011,29.475,31.473,88.687,87.006
11.292,6.011,29.611,31.665,88.701,87.037
11.375,6.009,29.788,31.415,88.725,87.082
11.417,6.012,29.575,31.661,88.765,87.179
11.458,6.013,29.811,31.632,88.774,87.238
11.500,6.012,29.771,31.707,88.799,87.294
11.542,6.012,29.858,31.785,88.793,87.308
11.583,6.013,29.653,31.538,88.740,87.212
11.625,6.013,29.628,31.879,88.693,87.134
11.667,6.012,29.581,31.652,88.672,87.121
11.708,6.013,29.923,31.695,88.701,87.110
11.750,6.012,29.814,31.622,88.683,87.085
11.792,6.012,29.946,31.648,88.691,87.044
11.833,6.011,29.757,31.673,88.720,87.030
11.875,6.011,29.159,31.625,88.760,87.077
11.958,6.013,29.740,31.826,88.742,87.072
12.000,6.010,29.676,31.757,88.712,87.054
12.042,6.010,29.733,31.734,88.700,87.033
12.083,6.011,29.712,31.676,88.729,87.055
12.125,6.010,29.706,31.539,88.725,87.013
12.167,6.012,29.393,31.502,88.696,87.049
12.208,6.011,29.062,31.638,88.695,87.024
12.250,6.010,29.618,31.541,88.715,87.023
12.292,6.011,29.589,31.630,88.728,87.065
12.375,6.010,29.627,31.560,88.784,87.168
12.417,6.013,29.661,32.056,88.809,87.218
12.458,6.013,29.770,31.377,88.825,87.296
12.500,6.013,29.732,31.794,88.835,87.288
12.542,6.012,29.698,31.629,88.825,87.285
12.583,6.014,29.836,31.716,88.809,87.311
12.625,6.014,29.826,31.750,88.766,87.246
12.667,6.014,29.826,31.419,88.684,87.187
12.708,6.013,29.792,31.796,88.651,87.129
12.750,6.014,29.900,31.516,88.700,87.079
12.792,6.012,29.660,31.561,88.735,87.063
12.833,6.012,29.830,31.595,88.795,87.100
12.875,6.011,29.721,31.862,88.775,87.127
12.958,6.012,29.740,31.666,88.757,87.079
13.000,6.012,29.673,31.512,88.732,87.098
13.042,6.011,29.550,31.699,88.727,87.044
13.083,6.012,29.689,31.623,88.703,87.051
13.125,6.015,29.792,31.855,88.727,87.046
13.167,6.013,29.020,31.800,88.726,87.009
13.208,6.011,29.716,31.711,88.728,87.033
13.250,6.013,29.441,31.787,88.734,86.984
13.292,6.012,29.691,31.510,88.736,87.078
13.375,6.013,29.687,31.754,88.775,87.113
13.417,6.013,29.685,31.517,88.786,87.220
13.458,6.014,29.417,31.762,88.842,87.284
13.500,6.014,29.636,31.622,88.841,87.336
13.542,6.015,29.220,31.731,88.829,87.345
13.583,6.015,29.702,31.542,88.779,87.294
13.625,6.013,29.838,31.638,88.708,87.179
13.667,6.014,29.437,31.756,88.672,87.062
13.708,6.013,29.711,31.650,88.660,87.062
13.750,6.013,29.716,31.722,88.714,87.090
13.792,6.011,29.872,31.724,88.737,87.054
13.833,6.010,29.534,31.561,88.688,87.074
13.875,6.012,29.662,31.511,88.717,87.091
13.958,6.012,29.779,31.826,88.700,87.061
14.000,6.011,29.797,31.477,88.737,87.067
14.042,6.012,29.658,31.484,88.704,87.045
14.083,6.013,29.796,31.592,88.731,87.024
14.125,6.014,29.657,31.547,88.710,87.070
14.167,6.013,28.938,31.558,88.722,87.079
14.208,6.013,29.738,31.583,88.717,87.064
14.250,6.013,29.799,31.622,88.758,87.113
14.292,6.014,29.755,31.636,88.764,87.102
14.375,6.013,29.377,31.702,88.814,87.218
14.417,5.982,29.848,31.648,88.765,87.198
14.458,6.013,29.983,31.639,88.838,87.289
14.500,6.013,29.619,31.740,88.853,87.334
14.542,6.014,29.812,31.757,88.847,87.310
14.583,6.012,29.805,31.496,88.829,87.264
14.625,6.014,29.460,31.637,88.794,87.127
14.667,6.013,29.581,31.632,88.786,87.192
14.708,6.013,29.093,31.548,88.699,87.090
14.750,6.012,29.074,31.755,88.662,87.045
14.792,6.013,29.739,31.343,88.693,87.002
14.833,6.012,29.652,31.608,88.759,87.100
14.875,6.012,29.318,31.716,88.709,87.072
14.958,6.014,29.391,31.446,88.720,87.118
15.000,6.011,29.652,31.408,88.739,87.097
15.042,6.011,29.854,31.823,88.781,87.116
15.083,6.011,29.724,31.686,88.756,87.038
15.125,6.011,29.670,31.626,88.744,87.099
15.167,6.011,29.902,31.700,88.727,87.082
15.208,6.010,29.674,31.475,88.748,87.091
15.250,6.010,29.809,31.603,88.751,87.082
15.292,6.013,29.853,31.644,88.731,87.094
15.375,6.014,29.491,31.725,88.718,87.101
15.417,6.014,29.191,31.956,88.750,87.159
15.458,6.013,29.838,31.675,88.775,87.240
15.500,6.013,29.721,31.619,88.793,87.264
15.542,6.014,29.699,31.552,88.839,87.328
15.583,6.015,29.632,31.662,88.828,87.297
15.625,6.015,29.731,31.495,88.735,87.169
15.667,6.014,29.660,31.598,88.692,87.193
15.708,6.014,29.831,31.741,88.567,86.986
15.750,6.014,29.720,31.742,88.581,86.965
15.792,6.012,29.850,31.733,88.633,87.052
15.833,6.014,29.896,31.654,88.714,87.054
15.875,6.013,29.310,31.646,88.706,87.018
15.958,6.013,29.722,31.784,88.631,87.072
16.000,6.012,29.623,31.718,88.645,87.064
16.042,6.013,29.874,31.703,88.681,87.085
16.083,6.012,29.696,31.464,88.619,86.991
16.125,6.011,29.819,31.439,88.635,87.029
16.167,6.011,29.421,31.627,88.627,86.998
16.208,6.014,28.992,31.613,88.626,87.001
16.250,6.013,29.603,31.593,88.626,86.990
16.292,6.011,29.857,31.506,88.671,87.018
16.375,6.012,29.677,31.752,88.732,87.156
16.417,6.013,29.820,31.532,88.783,87.161
16.458,6.014,29.793,31.480,88.762,87.228
16.500,6.014,29.100,31.691,88.752,87.211
16.542,6.014,29.802,31.287,88.739,87.210
16.583,6.014,29.717,31.506,88.765,87.199
16.625,6.013,29.163,31.686,88.737,87.246
16.667,6.015,29.245,31.679,88.768,87.238
16.708,6.014,29.497,31.584,88.710,87.126
16.750,6.014,29.715,31.815,88.705,87.064
16.792,6.013,29.701,31.464,88.694,87.037
16.833,6.012,29.571,31.743,88.719,87.119
16.875,6.013,29.419,31.884,88.738,87.209
16.958,6.013,29.356,31.698,88.792,87.177
17.000,6.014,29.452,31.753,88.794,87.111
17.042,6.012,29.591,31.672,88.775,87.157
17.083,6.013,29.549,31.688,88.796,87.152
17.125,6.010,29.619,31.723,88.762,87.119
17.167,6.012,28.791,31.661,88.750,87.118
17.208,6.012,28.755,31.582,88.733,87.099
17.250,6.011,29.130,31.899,88.746,87.120
17.292,6.011,29.317,31.902,88.776,87.137
17.375,6.013,29.526,31.681,88.794,87.199
17.417,6.012,29.570,31.550,88.815,87.212
17.458,6.013,29.336,31.369,88.806,87.264
17.500,6.012,29.337,31.274,88.880,87.256
17.542,6.014,28.833,31.578,88.900,87.364
17.583,6.014,29.452,31.651,88.845,87.335
