DOL,CD,FI3312A,TI3302A
17.708,6.013,29.487,88.751
17.750,6.013,29.581,88.754
17.792,6.013,28.759,88.761
17.833,6.012,29.202,88.787
17.875,6.013,29.785,88.784
17.958,6.012,29.126,88.814
18.000,6.012,29.557,88.786
18.042,6.012,28.791,88.777
18.083,6.010,29.557,88.758
18.125,6.012,29.210,88.758
18.167,6.010,28.844,88.751
18.208,6.010,29.370,88.764
18.250,6.010,29.650,88.759
18.292,6.010,28.880,88.791
18.375,6.011,29.533,88.774
18.417,6.011,29.681,88.806
18.458,6.012,29.297,88.807
18.500,6.011,29.524,88.733
18.542,6.010,29.537,88.625
18.583,6.009,29.551,88.591
18.625,6.009,29.432,88.638
18.667,6.009,29.474,88.728
18.708,6.009,29.807,88.727
18.750,6.010,29.388,88.755
18.792,6.011,29.645,88.757
18.833,6.010,29.413,88.803
18.875,6.009,28.950,88.765
18.958,6.010,29.465,88.721
19.000,6.009,29.523,88.745
19.042,6.009,29.504,88.739
19.083,6.010,29.493,88.755
19.125,6.012,29.334,88.783
19.167,6.011,29.350,88.766
19.208,6.012,29.502,88.776
19.250,6.011,28.884,88.790
19.292,6.009,29.607,88.804
19.375,6.010,29.567,88.820
19.417,6.012,29.121,88.854
19.458,6.013,29.570,88.849
19.500,6.014,29.756,88.872
19.542,6.015,29.204,88.882
19.583,6.014,29.448,88.865
19.625,6.014,29.793,88.843
19.667,6.014,29.051,88.803
19.708,6.013,29.548,88.774
19.750,6.013,28.800,88.767
19.792,6.013,29.766,88.736
19.833,6.013,29.565,88.780
19.875,6.015,29.637,88.789
19.958,6.014,29.347,88.784
20.000,6.013,29.463,88.800
20.042,6.011,29.521,88.794
20.083,6.012,29.565,88.774
20.125,6.011,29.616,88.778
20.167,6.013,29.228,88.772
20.208,6.011,29.665,88.752
20.250,6.011,29.651,88.750
20.292,6.009,29.745,88.642
20.375,6.012,29.652,88.801
20.417,6.013,29.478,88.804
20.458,6.011,29.697,88.803
20.500,6.016,29.642,88.862
20.542,6.015,29.706,88.851
20.583,6.015,28.958,88.853
20.625,6.014,29.492,88.756
