DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
346.125,5.951,28.389,30.735,87.379,86.198
346.167,5.949,28.167,30.687,87.402,86.168
346.208,4.261,21.016,30.401,84.705,83.774
346.250,4.259,20.887,30.261,84.278,83.417
346.292,4.259,20.945,30.538,84.188,83.320
346.375,2.757,14.272,29.961,81.837,81.246
346.417,2.758,14.340,30.092,80.616,80.108
346.458,2.757,14.299,29.898,80.228,79.739
346.500,2.758,14.354,30.352,80.121,79.609
346.542,2.758,14.379,30.367,80.097,79.623
346.583,2.758,14.426,30.274,80.086,79.624
346.625,2.758,14.468,30.129,80.021,79.591
346.667,2.758,14.425,30.253,79.950,79.509
346.708,2.758,14.378,30.240,79.948,79.446
346.750,2.757,14.356,30.025,79.871,79.370
346.792,2.757,14.331,30.222,79.848,79.353
346.833,2.757,14.339,30.285,79.879,79.405
346.875,2.757,14.350,30.212,79.891,79.405
346.958,3.676,18.993,30.074,82.493,81.819
347.000,3.676,19.031,30.115,83.031,82.311
347.042,3.674,19.009,30.272,83.152,82.459
347.083,3.675,18.956,30.249,83.176,82.475
347.125,3.675,18.987,30.369,83.177,82.465
347.167,3.675,18.986,30.381,83.167,82.449
347.208,3.673,19.038,30.275,83.197,82.461
347.250,3.674,18.962,30.288,83.163,82.427
347.292,3.675,18.951,30.371,83.145,82.351
347.375,2.757,13.892,30.207,81.001,80.478
347.417,2.757,13.893,30.019,80.384,79.896
347.458,2.757,13.886,30.353,80.154,79.704
347.500,2.757,13.886,30.101,80.106,79.626
347.542,2.758,13.887,30.571,80.078,79.664
347.583,2.758,13.888,30.355,80.079,79.648
347.625,2.758,14.045,30.130,80.087,79.644
347.667,2.758,13.903,29.890,80.130,79.647
347.708,2.756,13.835,30.110,79.948,79.500
347.750,2.757,13.822,30.355,79.875,79.387
347.792,2.757,13.819,30.256,79.868,79.417
347.833,2.757,13.812,30.082,79.879,79.412
347.875,2.756,13.803,30.144,79.892,79.440
347.958,3.369,16.773,30.138,81.767,81.075
348.000,3.367,16.761,30.257,82.144,81.538
348.042,3.368,16.801,30.395,82.168,81.477
348.083,3.367,16.801,30.279,82.135,81.496
348.125,3.367,16.797,30.146,82.169,81.534
348.167,3.368,16.786,30.227,82.204,81.535
348.208,3.368,16.754,30.162,82.251,81.603
348.250,3.368,16.788,30.203,82.251,81.618
348.292,3.368,16.764,30.130,82.229,81.571
348.375,3.367,16.719,30.242,82.277,81.614
348.417,3.368,16.716,30.419,82.326,81.680
348.458,3.370,16.742,30.062,82.365,81.735
348.500,3.370,16.674,30.121,82.358,81.781
348.542,3.370,16.736,30.235,82.397,81.815
348.583,3.370,16.759,30.206,82.396,81.819
348.625,3.369,16.771,29.996,82.377,81.759
348.667,3.371,16.751,30.378,82.346,81.716
348.708,3.371,16.733,30.343,82.310,81.701
348.750,3.370,16.723,30.252,82.256,81.443
348.792,3.371,16.682,30.239,82.215,81.563
348.833,3.370,16.667,30.210,82.241,81.561
348.875,3.370,16.669,29.978,82.230,81.571
348.958,3.371,16.681,30.278,82.263,81.531
349.000,3.368,16.641,30.088,82.272,81.635
349.042,3.370,16.643,30.112,82.272,81.614
349.083,3.369,16.647,30.172,82.252,81.587
349.125,3.368,16.636,30.245,82.237,81.590
349.167,3.369,16.626,30.284,82.217,81.572
349.208,3.369,16.587,30.123,82.213,81.573
349.250,3.368,16.594,30.057,82.205,81.586
349.292,3.369,16.633,30.137,82.270,81.631
349.375,3.368,16.915,30.107,82.647,82.035
349.417,3.369,16.893,30.127,82.715,82.126
349.458,3.368,16.903,30.305,82.804,82.182
349.500,3.370,16.890,30.141,82.774,82.197
349.542,3.371,16.920,30.265,82.800,82.165
349.583,3.371,16.945,30.301,82.768,82.239
349.625,3.370,16.944,30.187,82.755,82.065
349.667,3.371,16.899,29.810,82.682,82.084
349.708,3.371,16.931,30.066,82.658,82.020
349.750,3.371,16.940,30.173,82.632,81.962
349.792,3.372,16.939,30.054,82.637,81.977
349.833,4.260,21.315,30.533,84.611,83.746
349.875,4.259,21.162,30.485,85.239,84.353
349.958,5.949,28.998,30.910,88.620,87.420
350.000,5.951,29.139,30.654,88.479,87.309
350.042,5.950,28.647,30.996,88.445,87.284
350.083,5.950,28.941,30.542,88.420,87.246
350.125,5.949,28.728,30.625,88.421,87.236
350.167,5.951,28.384,30.462,88.410,87.278
350.208,5.950,28.216,30.700,88.458,87.272
350.250,5.949,28.714,30.536,88.461,87.258
350.292,5.951,28.872,30.341,88.438,87.291
350.375,2.759,15.505,29.983,84.978,84.297
350.417,2.758,15.432,29.991,82.399,81.861
350.458,2.757,15.400,30.515,81.772,81.279
350.500,2.757,15.437,30.272,81.597,81.140
350.542,2.757,15.423,30.357,81.605,81.155
350.583,2.758,15.475,30.294,81.652,81.196
350.625,2.758,15.460,30.089,81.641,81.165
350.667,2.757,15.503,30.159,81.704,81.239
350.708,2.757,15.453,30.268,81.653,81.157
350.750,2.757,15.423,30.271,81.614,81.108
350.792,2.757,15.418,30.327,81.597,81.054
350.833,2.757,15.448,30.354,81.577,81.064
350.875,2.757,15.489,30.381,82.123,81.608
350.958,5.950,29.178,30.869,88.392,87.227
351.000,5.949,29.023,30.795,87.581,86.396
351.042,5.951,29.084,30.475,87.537,86.378
351.083,5.949,28.196,30.817,87.538,86.349
351.125,5.949,29.064,30.912,87.512,86.341
351.167,5.949,29.142,30.621,87.514,86.340
351.208,5.951,28.748,30.525,87.531,86.329
351.250,5.950,28.954,30.766,87.550,86.371
351.292,5.950,29.078,30.599,87.580,86.393
351.375,2.759,15.459,30.005,83.616,82.943
351.417,2.758,15.409,30.304,82.214,81.728
351.458,2.757,15.415,30.435,81.855,81.383
351.500,2.758,15.393,30.375,81.758,81.317
351.542,2.758,15.416,30.240,81.733,81.289
351.583,2.759,15.422,30.291,81.714,81.261
351.625,2.758,15.425,30.288,81.654,81.242
351.667,2.758,15.432,30.213,81.632,81.184
351.708,2.757,15.423,30.389,81.595,81.182
351.750,2.758,15.423,30.382,81.559,81.083
351.792,2.758,15.419,30.353,81.532,81.075
351.833,2.758,15.387,30.421,81.607,81.149
351.875,2.757,15.382,30.328,81.620,81.133
351.958,5.980,29.810,30.847,86.716,85.495
352.000,5.979,29.838,30.948,87.106,85.924
352.042,5.977,29.636,30.718,87.156,85.945
352.083,5.979,29.998,30.853,87.150,85.953
352.125,5.979,29.777,30.684,87.150,85.909
352.167,5.980,29.634,30.768,87.185,85.924
352.208,5.981,29.665,31.004,87.162,85.994
352.250,5.980,29.255,30.570,87.154,85.882
352.292,5.951,29.439,30.603,87.050,85.849
352.375,2.759,15.855,30.203,83.422,82.695
352.417,2.758,15.710,30.247,82.091,81.588
352.458,2.757,15.597,30.193,81.333,80.876
352.500,2.755,15.517,30.128,81.240,80.700
352.542,2.755,15.556,30.345,81.254,80.717
352.583,2.755,15.581,30.293,81.331,80.812
352.625,2.754,15.623,30.343,81.376,80.904
352.667,2.755,15.652,30.240,81.434,80.944
352.708,2.755,15.688,30.290,81.528,81.010
352.750,2.755,15.658,30.221,81.516,81.039
352.792,2.754,15.682,30.268,81.564,81.046
352.833,2.755,15.691,30.406,81.577,81.081
352.875,2.756,15.690,30.217,81.543,81.077
352.958,5.948,28.863,30.978,86.798,85.585
353.000,5.949,28.848,30.685,87.087,85.850
353.042,5.948,28.271,30.887,87.155,85.963
353.083,5.948,28.863,30.548,87.213,86.028
353.125,5.949,28.661,30.640,87.245,86.046
353.167,5.951,28.807,30.820,87.241,86.038
353.208,5.951,28.746,30.652,87.167,85.942
353.250,5.950,28.878,30.774,87.129,85.945
353.292,5.950,28.663,30.738,87.185,85.932
353.375,2.759,14.850,30.088,82.797,82.264
353.417,2.757,14.902,30.544,80.376,79.991
353.458,2.757,14.886,30.594,79.697,79.336
353.500,2.757,14.983,30.592,80.372,80.031
353.542,2.758,15.030,30.636,80.720,80.319
353.583,2.759,15.054,30.489,80.839,80.472
353.625,2.759,15.064,30.465,80.920,80.482
353.667,2.758,15.133,30.535,81.049,80.579
353.708,2.758,15.059,30.743,81.008,80.545
353.750,2.759,15.079,30.537,80.940,80.578
353.792,2.759,15.088,30.295,80.943,80.516
353.833,2.758,15.006,30.313,80.927,80.416
353.875,2.759,15.011,30.271,80.893,80.409
353.958,5.949,28.618,31.009,86.874,85.716
354.000,5.947,28.644,30.654,87.337,86.102
354.042,5.949,28.605,30.674,87.386,86.181
354.083,5.949,28.604,30.390,87.399,86.122
354.125,5.950,28.544,30.548,87.391,86.195
354.167,5.950,28.626,30.577,87.421,86.174
354.208,5.950,28.494,30.592,87.403,86.196
354.250,5.950,28.572,30.503,87.356,86.122
354.292,5.950,28.531,30.403,87.364,86.101
354.375,2.758,15.112,30.145,83.733,82.988
354.417,2.758,15.222,30.577,80.557,80.149
354.458,2.758,15.284,30.772,80.586,80.244
354.500,2.759,15.298,30.580,80.894,80.516
354.542,2.759,15.317,30.724,81.009,80.579
354.583,2.759,15.334,30.393,80.953,80.524
354.625,2.760,15.307,30.680,80.948,80.550
354.667,2.759,15.323,30.577,80.882,80.427
354.708,2.758,15.266,30.481,80.847,80.402
354.750,2.759,15.263,30.417,80.767,80.341
354.792,2.757,15.276,30.619,80.733,80.255
354.833,2.757,15.264,30.505,80.763,80.279
354.875,2.757,15.217,30.611,80.833,80.349
354.958,5.950,29.158,30.832,86.626,85.454
355.000,5.949,29.064,30.476,87.099,85.789
355.042,5.949,29.191,30.566,87.154,85.935
355.083,5.949,29.249,30.447,87.200,85.951
355.125,5.949,29.171,30.807,87.213,86.023
355.167,5.950,29.164,30.331,87.209,85.956
355.208,5.950,29.269,30.589,87.164,85.914
355.250,5.949,29.200,30.519,87.149,85.953
355.292,5.950,29.044,30.389,87.415,86.139
355.375,5.951,28.599,30.202,87.518,86.336
355.417,5.952,29.104,30.370,87.558,86.410
355.458,5.951,29.273,30.586,87.636,86.601
355.500,5.954,28.656,30.565,87.686,86.542
355.542,5.953,29.396,30.905,87.757,86.696
355.583,5.955,29.353,30.622,87.776,86.648
355.625,5.955,29.277,30.704,87.673,86.587
355.667,5.954,28.640,30.914,87.613,86.509
355.708,5.955,29.377,30.736,87.608,86.472
355.750,5.956,29.008,30.664,87.586,86.449
355.792,5.954,29.038,30.283,87.665,86.503
355.833,5.954,28.921,30.652,87.639,86.532
355.875,5.954,28.723,30.510,87.622,86.503
355.958,5.953,28.953,30.607,87.603,86.421
356.000,5.953,28.662,30.486,87.603,86.425
356.042,5.955,28.966,30.534,87.600,86.465
356.083,5.953,28.801,30.412,87.579,86.341
356.125,5.953,28.621,30.388,87.583,86.301
356.167,5.950,28.436,30.462,87.560,86.336
356.208,5.951,28.453,30.700,87.574,86.379
356.250,5.951,28.870,30.486,87.567,86.383
356.292,5.951,28.802,30.445,87.578,86.413
356.375,5.952,28.795,30.515,87.623,86.523
356.417,5.952,29.036,30.630,87.723,86.558
356.458,5.954,28.203,30.739,87.766,86.651
356.500,5.955,29.370,30.631,87.819,86.776
356.542,5.955,28.861,30.535,87.757,86.680
356.583,5.954,29.092,30.358,87.669,86.608
356.625,5.953,28.113,30.328,87.590,86.504
356.667,5.954,29.078,30.535,87.621,86.530
356.708,5.953,29.150,30.437,87.629,86.523
356.750,5.955,29.068,30.215,87.625,86.473
356.792,5.953,28.909,30.483,87.626,86.476
356.833,5.953,28.389,30.547,87.585,86.438
356.875,5.953,29.088,30.390,87.615,86.453
356.958,5.952,28.267,30.414,87.653,86.497
357.000,5.953,29.137,30.306,87.650,86.461
357.042,5.952,29.011,30.454,87.615,86.417
357.083,5.952,28.947,30.220,87.567,86.374
357.125,5.952,28.981,30.716,87.570,86.374
357.167,5.953,28.885,30.307,87.578,86.381
357.208,5.951,28.209,30.214,87.593,86.375
357.250,5.952,29.159,30.091,87.592,86.314
357.292,5.951,29.120,30.135,87.588,86.334
357.375,2.758,14.562,29.649,83.868,83.352
357.417,2.758,14.309,30.393,82.415,82.003
357.458,2.758,14.355,30.345,80.884,80.523
357.500,2.760,14.357,30.178,80.522,80.145
357.542,2.760,14.361,30.130,80.437,79.976
357.583,2.758,14.322,30.200,80.204,79.788
357.625,2.758,14.321,30.091,80.139,79.736
357.667,2.758,14.300,29.795,80.079,79.665
