DOL,CD,TI3302A
21.708,6.012,88.776
21.750,6.012,88.770
21.792,6.012,88.722
21.833,6.013,88.724
21.875,6.012,88.747
21.958,6.012,88.815
22.000,6.012,88.800
22.042,6.013,88.774
22.083,6.012,88.753
22.125,6.012,88.773
22.167,6.011,88.751
22.208,6.013,88.763
22.250,6.013,88.755
22.292,6.012,88.784
22.375,6.014,88.792
22.417,6.013,88.866
22.458,6.013,88.846
22.500,6.013,88.837
22.542,6.014,88.851
22.583,6.014,88.826
22.625,6.014,88.795
22.667,6.013,88.769
22.708,6.013,88.756
22.750,6.013,88.813
22.792,6.012,88.843
22.833,6.013,88.819
22.875,6.013,88.814
22.958,6.013,88.882
23.000,6.014,88.821
23.042,6.012,88.787
23.083,6.012,88.745
23.125,6.012,88.795
23.167,6.011,88.795
23.208,6.012,88.802
23.250,6.012,88.838
23.292,6.010,88.613
23.375,6.010,88.690
23.417,6.011,88.703
23.458,6.009,88.702
23.500,6.011,88.740
23.542,6.011,88.861
23.583,6.011,88.886
23.625,6.013,88.861
23.667,6.012,88.864
23.708,6.012,88.829
23.750,6.012,88.873
23.792,6.012,88.801
23.833,6.011,88.763
23.875,6.011,88.780
23.958,6.015,88.772
24.000,6.012,88.797
24.042,6.012,88.755
24.083,6.012,88.734
24.125,6.013,88.745
24.167,6.012,88.731
24.208,6.012,88.732
24.250,6.013,88.734
24.292,6.012,88.774
24.375,6.012,88.800
24.417,6.011,88.819
24.458,6.012,88.823
24.500,6.013,88.874
24.542,6.014,88.858
24.583,6.014,88.836
24.625,6.013,88.802
24.667,6.013,88.779
24.708,6.013,88.783
24.750,6.014,88.767
24.792,6.012,88.748
24.833,6.013,88.755
24.875,6.012,88.738
24.958,6.013,88.780
25.000,6.012,88.757
25.042,6.012,88.774
25.083,6.010,88.760
25.125,6.011,88.774
25.167,6.011,88.794
25.208,6.011,88.804
25.250,6.011,88.793
25.292,6.013,88.809
25.375,6.013,88.896
25.417,6.013,88.898
25.458,6.013,88.861
25.500,6.013,88.863
25.542,6.014,88.899
25.583,6.014,88.912
25.625,6.014,88.886
25.667,6.014,88.863
25.708,6.012,88.812
25.750,6.012,88.796
25.792,6.012,88.778
25.833,6.012,88.801
25.875,6.013,88.803
25.958,6.012,88.832
26.000,6.014,88.830
26.042,6.013,88.820
26.083,6.015,88.769
26.125,6.015,88.784
26.167,6.013,88.752
26.208,6.014,88.799
26.250,6.012,88.785
26.292,6.013,88.811
26.375,6.013,88.859
26.417,6.013,88.894
26.458,6.014,88.913
26.500,6.014,88.960
26.542,6.015,88.982
26.583,6.015,88.946
26.625,6.014,89.021
26.667,6.015,88.878
26.708,6.013,88.868
26.750,6.012,88.851
26.792,6.012,88.849
26.833,6.013,88.892
26.875,6.013,88.925
26.958,6.013,88.836
27.000,6.012,88.814
27.042,6.012,88.792
27.083,6.014,88.793
27.125,6.012,88.816
27.167,6.012,88.840
27.208,6.012,88.830
27.250,6.013,88.840
27.292,6.013,88.822
27.375,6.014,88.844
27.417,6.014,88.890
27.458,6.013,88.904
27.500,6.015,88.971
27.542,6.015,88.958
27.583,6.015,88.928
27.625,6.014,88.900
27.667,6.014,88.884
27.708,6.012,88.865
27.750,6.014,88.838
27.792,6.013,88.850
27.833,6.014,88.806
27.875,6.015,88.836
27.958,6.012,88.892
28.000,6.013,88.874
28.042,6.012,88.865
28.083,6.013,88.857
28.125,6.013,88.877
28.167,6.014,88.835
28.208,6.012,88.860
28.250,6.013,88.884
28.292,6.013,88.901
28.375,2.547,85.618
28.417,2.455,85.085
28.458,2.331,85.072
28.958,6.011,88.579
29.000,6.013,88.804
29.042,6.012,88.589
29.083,6.013,88.639
29.125,6.013,88.702
29.167,6.014,88.680
29.208,6.013,88.563
29.250,6.013,88.566
29.292,6.012,88.701
29.375,3.047,86.559
29.417,2.454,84.373
29.458,2.454,84.099
29.500,2.455,84.076
29.542,2.454,84.050
29.583,2.453,83.987
29.625,2.454,84.038
29.667,2.453,84.007
29.708,2.452,84.037
29.750,2.454,84.079
29.792,2.452,84.032
29.833,2.453,83.983
29.875,2.452,83.947
29.958,6.012,88.426
30.000,6.012,88.906
30.042,6.012,88.819
30.083,6.013,88.785
30.125,6.014,88.807
30.167,6.012,88.840
30.208,6.014,88.857
30.250,6.013,88.902
30.292,6.012,88.900
30.375,4.294,89.166
30.417,2.452,85.107
30.458,2.451,84.424
30.500,2.454,84.836
30.542,2.453,85.091
30.583,2.453,85.100
30.625,2.452,85.066
30.667,2.453,85.244
30.708,2.453,85.313
30.750,2.453,85.316
30.792,2.453,85.275
30.833,2.453,85.266
30.875,2.453,85.259
30.958,6.012,88.721
31.000,6.011,88.731
31.042,6.012,88.779
31.083,6.012,88.846
31.125,6.011,88.842
31.167,6.011,88.853
31.208,6.012,88.880
31.250,6.012,88.879
31.292,6.013,88.851
31.375,2.456,86.254
31.417,2.454,84.898
31.458,2.455,84.641
31.500,2.454,84.436
31.542,2.454,84.257
31.583,2.452,84.209
31.625,2.454,84.333
31.667,2.453,84.407
31.708,2.453,84.178
31.750,2.451,84.125
31.792,2.450,84.269
31.833,2.451,84.208
31.875,2.451,84.178
31.958,6.010,88.583
32.000,6.010,88.881
32.042,6.011,88.926
32.083,6.009,88.980
32.125,6.011,88.969
32.167,6.011,88.959
32.208,6.010,88.965
32.250,6.009,88.984
32.292,6.011,88.835
32.375,3.372,86.505
32.417,2.452,84.218
32.458,2.454,83.729
32.500,2.455,83.624
32.542,2.456,83.621
32.583,2.456,83.645
32.625,2.455,83.732
32.667,2.455,84.240
32.708,2.455,84.244
32.750,2.454,84.287
32.792,2.455,84.234
32.833,2.454,84.173
32.875,2.453,84.060
32.958,6.010,88.979
33.000,6.010,88.883
33.042,6.011,88.944
33.083,6.011,89.050
33.125,6.011,89.065
33.167,6.008,89.028
33.208,6.008,88.983
33.250,6.010,88.950
33.292,6.010,88.974
33.375,6.010,89.081
33.417,6.008,89.071
33.458,6.012,89.139
33.500,6.011,89.182
33.542,6.012,89.133
33.583,6.013,89.105
33.625,6.010,89.091
33.667,6.012,89.062
33.708,6.010,89.018
33.750,6.010,89.020
33.792,6.009,88.983
33.833,6.008,88.977
33.875,6.007,88.970
33.958,6.006,88.968
34.000,6.006,88.926
34.042,6.005,89.206
34.083,6.006,89.271
34.125,6.006,89.285
34.167,6.005,89.229
34.208,6.005,89.201
34.250,6.003,89.168
34.292,6.003,89.195
34.375,6.005,89.278
34.417,6.006,89.356
34.458,6.009,89.414
34.500,6.011,89.486
34.542,6.011,89.443
34.583,6.010,89.389
34.625,6.012,89.427
34.667,6.013,89.499
34.708,6.013,89.387
34.750,6.012,89.331
34.792,6.011,89.329
34.833,6.012,89.364
34.875,6.011,89.350
34.958,6.010,89.367
35.000,6.009,89.317
35.042,6.009,89.287
35.083,6.008,89.251
35.125,6.009,89.244
35.167,6.008,89.272
35.208,6.008,89.276
35.250,6.008,89.267
35.292,6.007,89.300
35.375,6.009,89.410
35.417,6.011,89.107
35.458,6.012,88.865
35.500,6.012,89.063
35.542,6.014,89.436
35.583,6.013,89.369
35.625,6.012,89.368
35.667,6.012,89.541
35.708,6.013,89.162
35.750,6.013,88.602
35.792,6.012,89.220
35.833,6.012,89.610
35.875,6.013,89.617
35.958,6.012,89.653
36.000,6.009,89.512
36.042,6.011,89.542
36.083,6.012,89.549
36.125,6.010,89.528
36.167,6.011,89.525
36.208,6.011,89.514
36.250,6.010,89.548
36.292,6.010,89.573
36.375,6.012,89.619
36.417,6.013,89.646
36.458,6.013,89.644
36.500,6.013,89.727
36.542,6.015,89.693
36.583,6.016,89.692
36.625,6.016,89.635
36.667,6.014,89.628
36.708,6.015,89.604
36.750,6.013,89.580
36.792,6.012,89.558
36.833,6.013,89.554
36.875,6.011,89.582
36.958,6.011,89.620
37.000,6.014,89.640
37.042,6.014,89.633
37.083,6.013,89.617
37.125,6.014,89.605
37.167,6.013,89.574
37.208,6.011,89.552
37.250,6.011,89.558
37.292,6.012,89.545
37.375,6.014,89.600
37.417,6.015,89.674
37.458,6.017,89.681
37.500,6.015,89.704
37.542,6.015,89.690
37.583,6.017,89.667
37.625,6.017,89.629
37.667,6.015,89.640
37.708,6.014,89.608
37.750,6.013,89.580
37.792,6.014,89.531
37.833,6.013,89.557
37.875,6.014,89.624
37.958,6.012,89.627
38.000,6.013,89.644
38.042,6.014,89.599
38.083,6.013,89.592
38.125,6.013,89.552
38.167,6.014,89.570
38.208,6.013,89.552
38.250,6.013,89.549
38.292,6.013,89.546
38.375,3.677,87.715
38.417,3.678,87.449
38.458,3.678,87.534
38.500,3.678,87.531
38.542,3.679,87.535
38.583,3.678,87.533
38.625,3.678,87.552
38.667,3.677,87.574
38.708,3.677,87.422
38.750,3.677,87.419
38.792,3.677,87.445
38.833,3.678,87.496
38.875,3.677,87.527
38.958,6.012,88.960
39.000,6.013,88.699
39.042,6.010,88.699
39.083,6.010,88.718
39.125,6.012,88.729
39.167,6.013,88.719
39.208,6.012,88.696
39.250,6.011,88.692
39.292,6.011,88.667
39.375,3.677,87.506
39.417,3.677,87.491
39.458,3.679,87.529
39.500,3.678,87.576
39.542,3.678,87.527
39.583,3.677,87.472
39.625,3.679,87.418
39.667,3.677,87.392
39.708,3.676,86.879
39.750,3.676,86.759
39.792,3.676,86.760
39.833,3.675,87.251
39.875,3.676,88.055
39.958,6.012,89.175
40.000,6.010,88.798
40.042,6.011,88.784
40.083,6.011,88.783
40.125,6.012,88.775
40.167,6.011,88.764
40.208,6.011,88.753
40.250,6.010,88.776
40.292,6.012,88.720
40.375,6.011,88.808
40.417,6.014,88.801
40.458,6.013,88.808
40.500,6.014,88.808
40.542,6.014,88.812
40.583,6.015,88.806
40.625,6.012,89.417
40.667,6.013,89.350
40.708,6.014,89.319
40.750,6.014,89.280
40.792,6.013,89.271
40.833,6.012,89.258
40.875,6.012,89.337
40.958,6.012,89.367
41.000,6.014,89.373
41.042,6.012,89.352
41.083,6.012,89.361
41.125,6.011,89.380
41.167,6.011,89.383
41.208,6.013,89.364
