DOL,CD,FI3312B,TI3302A
19.417,6.012,31.484,88.854
19.458,6.013,31.512,88.849
19.500,6.014,31.727,88.872
19.542,6.015,31.422,88.882
19.583,6.014,31.612,88.865
19.625,6.014,31.702,88.843
19.667,6.014,31.489,88.803
19.708,6.013,31.395,88.774
19.750,6.013,31.610,88.767
19.792,6.013,31.327,88.736
19.833,6.013,31.506,88.780
19.875,6.015,31.459,88.789
19.958,6.014,31.557,88.784
20.000,6.013,31.644,88.800
20.042,6.011,31.700,88.794
20.083,6.012,31.873,88.774
20.125,6.011,31.603,88.778
20.167,6.013,31.910,88.772
20.208,6.011,31.817,88.752
20.250,6.011,31.741,88.750
20.292,6.009,31.736,88.642
20.375,6.012,31.816,88.801
20.417,6.013,32.003,88.804
20.458,6.011,31.814,88.803
20.500,6.016,31.752,88.862
20.542,6.015,31.876,88.851
20.583,6.015,31.747,88.853
20.625,6.014,31.430,88.756
20.667,6.014,31.636,88.819
20.708,6.014,31.661,88.801
20.750,6.012,31.832,88.814
20.792,6.013,31.625,88.794
20.833,6.013,31.406,88.768
20.875,6.014,31.368,88.810
20.958,6.013,31.481,88.864
21.000,6.012,31.463,88.814
21.042,6.013,31.607,88.814
21.083,6.012,31.484,88.807
21.125,6.011,30.950,88.558
21.167,6.009,31.072,88.412
21.208,6.010,31.540,88.645
21.250,6.010,31.373,88.686
21.292,6.010,31.402,88.752
21.375,6.012,31.530,88.814
21.417,6.011,31.499,88.827
21.458,6.012,31.373,88.722
21.500,6.012,31.752,88.743
21.542,6.013,31.401,88.793
21.583,6.013,31.402,88.795
21.625,6.014,31.711,88.789
21.667,6.013,31.763,88.798
21.708,6.012,31.512,88.776
21.750,6.012,31.807,88.770
21.792,6.012,31.894,88.722
21.833,6.013,31.774,88.724
21.875,6.012,31.784,88.747
21.958,6.012,31.679,88.815
22.000,6.012,31.884,88.800
22.042,6.013,31.468,88.774
22.083,6.012,31.367,88.753
22.125,6.012,31.462,88.773
22.167,6.011,31.305,88.751
22.208,6.013,31.412,88.763
22.250,6.013,31.628,88.755
22.292,6.012,31.538,88.784
22.375,6.014,31.612,88.792
22.417,6.013,31.651,88.866
22.458,6.013,31.737,88.846
22.500,6.013,31.892,88.837
22.542,6.014,31.707,88.851
22.583,6.014,31.471,88.826
22.625,6.014,31.663,88.795
22.667,6.013,31.502,88.769
22.708,6.013,31.783,88.756
22.750,6.013,31.519,88.813
22.792,6.012,31.612,88.843
22.833,6.013,31.784,88.819
22.875,6.013,31.494,88.814
22.958,6.013,31.586,88.882
23.000,6.014,31.533,88.821
23.042,6.012,31.460,88.787
23.083,6.012,31.567,88.745
23.125,6.012,31.561,88.795
23.167,6.011,31.489,88.795
23.208,6.012,31.477,88.802
23.250,6.012,31.451,88.838
23.292,6.010,31.452,88.613
23.375,6.010,31.687,88.690
23.417,6.011,31.732,88.703
23.458,6.009,31.624,88.702
23.500,6.011,31.665,88.740
