DOL,CD,FI3312B
23.375,6.010,31.687
23.417,6.011,31.732
23.458,6.009,31.624
23.500,6.011,31.665
23.542,6.011,31.550
23.583,6.011,31.806
23.625,6.013,31.490
23.667,6.012,31.599
23.708,6.012,31.561
23.750,6.012,31.578
23.792,6.012,31.579
23.833,6.011,31.247
23.875,6.011,31.692
23.958,6.015,31.774
24.000,6.012,31.674
24.042,6.012,31.635
24.083,6.012,31.569
24.125,6.013,31.569
24.167,6.012,31.629
24.208,6.012,31.538
24.250,6.013,31.382
24.292,6.012,31.549
24.375,6.012,31.464
24.417,6.011,31.384
24.458,6.012,31.344
24.500,6.013,31.584
24.542,6.014,31.571
24.583,6.014,31.465
24.625,6.013,31.535
24.667,6.013,31.485
24.708,6.013,31.509
24.750,6.014,31.742
24.792,6.012,31.318
24.833,6.013,31.507
24.875,6.012,31.508
24.958,6.013,31.641
25.000,6.012,31.560
25.042,6.012,31.768
25.083,6.010,31.617
25.125,6.011,31.552
25.167,6.011,31.472
25.208,6.011,31.625
25.250,6.011,31.533
25.292,6.013,31.601
25.375,6.013,31.569
25.417,6.013,31.628
25.458,6.013,31.543
25.500,6.013,31.523
25.542,6.014,31.641
25.583,6.014,31.739
25.625,6.014,31.640
25.667,6.014,31.542
25.708,6.012,31.559
25.750,6.012,31.404
25.792,6.012,31.776
25.833,6.012,31.510
25.875,6.013,31.617
25.958,6.012,31.655
26.000,6.014,31.665
26.042,6.013,31.547
26.083,6.015,31.429
26.125,6.015,31.495
26.167,6.013,31.521
26.208,6.014,31.815
26.250,6.012,31.575
26.292,6.013,31.651
26.375,6.013,31.603
26.417,6.013,31.708
26.458,6.014,31.516
26.500,6.014,31.521
26.542,6.015,31.622
26.583,6.015,31.828
26.625,6.014,31.487
26.667,6.015,31.519
26.708,6.013,31.535
26.750,6.012,31.760
26.792,6.012,31.742
26.833,6.013,31.453
26.875,6.013,31.548
26.958,6.013,31.663
27.000,6.012,31.510
27.042,6.012,31.378
27.083,6.014,31.662
27.125,6.012,31.559
27.167,6.012,31.513
27.208,6.012,31.680
27.250,6.013,31.491
27.292,6.013,31.591
27.375,6.014,31.699
27.417,6.014,31.561
27.458,6.013,31.597
27.500,6.015,31.690
27.542,6.015,31.848
27.583,6.015,31.713
27.625,6.014,31.715
27.667,6.014,31.555
27.708,6.012,31.799
27.750,6.014,31.453
27.792,6.013,31.674
27.833,6.014,31.636
27.875,6.015,31.628
27.958,6.012,31.596
28.000,6.013,31.651
28.042,6.012,31.387
28.083,6.013,31.655
28.125,6.013,31.803
28.167,6.014,31.589
28.208,6.012,31.723
28.250,6.013,31.760
28.292,6.013,31.834
28.375,2.547,30.883
28.417,2.455,30.885
28.458,2.331,30.878
28.958,6.011,29.879
29.000,6.013,29.749
29.042,6.012,30.292
29.083,6.013,30.227
29.125,6.013,30.748
29.167,6.014,30.403
29.208,6.013,30.608
29.250,6.013,30.712
29.292,6.012,30.616
29.375,3.047,30.184
29.417,2.454,29.611
29.458,2.454,29.744
29.500,2.455,29.995
29.542,2.454,29.776
29.583,2.453,29.690
29.625,2.454,29.674
29.667,2.453,29.426
29.708,2.452,29.889
29.750,2.454,29.941
29.792,2.452,29.765
29.833,2.453,29.628
29.875,2.452,29.399
29.958,6.012,30.458
30.000,6.012,30.233
30.042,6.012,30.391
30.083,6.013,30.807
30.125,6.014,30.146
30.167,6.012,30.573
30.208,6.014,29.766
30.250,6.013,30.302
30.292,6.012,30.501
30.375,4.294,29.749
30.417,2.452,30.687
30.458,2.451,30.935
30.500,2.454,30.775
30.542,2.453,30.316
30.583,2.453,30.525
30.625,2.452,30.879
30.667,2.453,30.793
30.708,2.453,30.558
30.750,2.453,30.761
30.792,2.453,30.699
30.833,2.453,30.567
30.875,2.453,30.525
30.958,6.012,31.576
31.000,6.011,31.801
31.042,6.012,31.543
31.083,6.012,31.607
31.125,6.011,31.478
31.167,6.011,31.433
31.208,6.012,31.910
31.250,6.012,31.382
31.292,6.013,32.019
31.375,2.456,31.256
31.417,2.454,30.867
31.458,2.455,30.977
31.500,2.454,31.034
31.542,2.454,30.682
31.583,2.452,30.755
31.625,2.454,31.026
31.667,2.453,30.703
31.708,2.453,30.429
31.750,2.451,30.784
31.792,2.450,30.836
31.833,2.451,30.592
31.875,2.451,30.619
31.958,6.010,31.066
32.000,6.010,31.544
32.042,6.011,31.150
32.083,6.009,31.202
32.125,6.011,31.426
32.167,6.011,31.622
32.208,6.010,30.827
32.250,6.009,31.078
32.292,6.011,31.252
32.375,3.372,30.628
32.417,2.452,30.570
32.458,2.454,30.687
32.500,2.455,30.890
32.542,2.456,30.898
32.583,2.456,31.165
32.625,2.455,31.017
32.667,2.455,31.060
32.708,2.455,31.082
32.750,2.454,30.700
32.792,2.455,31.073
32.833,2.454,30.528
32.875,2.453,30.570
32.958,6.010,31.508
33.000,6.010,31.395
33.042,6.011,31.302
33.083,6.011,31.356
33.125,6.011,31.362
33.167,6.008,31.347
33.208,6.008,31.158
33.250,6.010,31.129
33.292,6.010,31.285
33.375,6.010,31.357
33.417,6.008,31.538
33.458,6.012,31.143
33.500,6.011,31.056
33.542,6.012,31.379
33.583,6.013,31.056
33.625,6.010,31.225
33.667,6.012,31.103
33.708,6.010,31.343
33.750,6.010,30.960
33.792,6.009,30.874
33.833,6.008,30.712
33.875,6.007,30.868
33.958,6.006,30.896
34.000,6.006,31.276
34.042,6.005,30.727
34.083,6.006,30.798
34.125,6.006,30.760
34.167,6.005,30.633
34.208,6.005,30.571
34.250,6.003,30.721
34.292,6.003,30.342
34.375,6.005,30.888
34.417,6.006,30.957
34.458,6.009,30.828
34.500,6.011,31.000
34.542,6.011,30.875
34.583,6.010,30.981
34.625,6.012,31.209
34.667,6.013,31.040
34.708,6.013,31.231
34.750,6.012,31.156
34.792,6.011,31.512
34.833,6.012,31.349
34.875,6.011,30.963
34.958,6.010,30.899
35.000,6.009,30.853
35.042,6.009,30.815
35.083,6.008,30.862
35.125,6.009,30.857
35.167,6.008,30.982
35.208,6.008,30.911
35.250,6.008,30.724
35.292,6.007,30.944
35.375,6.009,31.044
35.417,6.011,30.561
35.458,6.012,30.256
35.500,6.012,30.620
35.542,6.014,30.744
35.583,6.013,30.598
35.625,6.012,30.306
35.667,6.012,30.705
35.708,6.013,30.793
35.750,6.013,30.780
35.792,6.012,30.728
35.833,6.012,30.610
35.875,6.013,30.850
35.958,6.012,30.927
36.000,6.009,30.651
36.042,6.011,30.683
36.083,6.012,30.577
36.125,6.010,30.324
36.167,6.011,30.550
36.208,6.011,30.691
36.250,6.010,30.379
36.292,6.010,30.313
36.375,6.012,30.595
36.417,6.013,30.664
36.458,6.013,30.590
36.500,6.013,30.659
36.542,6.015,30.811
36.583,6.016,30.851
36.625,6.016,30.719
36.667,6.014,30.925
36.708,6.015,30.815
36.750,6.013,30.583
36.792,6.012,30.900
36.833,6.013,30.576
36.875,6.011,30.758
36.958,6.011,30.653
37.000,6.014,30.552
37.042,6.014,30.785
37.083,6.013,30.739
37.125,6.014,30.420
37.167,6.013,30.581
37.208,6.011,30.605
37.250,6.011,30.795
37.292,6.012,30.218
37.375,6.014,30.807
37.417,6.015,30.464
37.458,6.017,30.726
37.500,6.015,30.656
37.542,6.015,30.602
37.583,6.017,30.429
37.625,6.017,30.640
37.667,6.015,30.312
37.708,6.014,30.470
37.750,6.013,30.558
37.792,6.014,30.586
37.833,6.013,30.471
37.875,6.014,30.485
37.958,6.012,30.656
38.000,6.013,30.696
38.042,6.014,30.614
38.083,6.013,30.649
38.125,6.013,30.387
38.167,6.014,30.627
38.208,6.013,30.564
38.250,6.013,30.540
38.292,6.013,30.199
38.375,3.677,30.308
38.417,3.678,30.264
38.458,3.678,29.986
38.500,3.678,30.170
38.542,3.679,29.942
38.583,3.678,29.981
38.625,3.678,29.895
38.667,3.677,29.880
38.708,3.677,29.847
38.750,3.677,30.000
38.792,3.677,30.090
38.833,3.678,30.075
38.875,3.677,30.210
38.958,6.012,30.441
39.000,6.013,30.416
39.042,6.010,30.515
39.083,6.010,30.453
39.125,6.012,30.367
39.167,6.013,30.285
39.208,6.012,30.329
39.250,6.011,30.305
39.292,6.011,30.154
39.375,3.677,30.372
39.417,3.677,30.203
39.458,3.679,30.382
39.500,3.678,30.471
39.542,3.678,30.281
39.583,3.677,30.199
39.625,3.679,30.286
39.667,3.677,30.248
39.708,3.676,30.157
39.750,3.676,30.366
39.792,3.676,30.252
39.833,3.675,29.924
39.875,3.676,30.280
39.958,6.012,30.797
40.000,6.010,30.495
40.042,6.011,30.260
40.083,6.011,30.607
40.125,6.012,30.594
40.167,6.011,30.475
40.208,6.011,30.699
40.250,6.010,30.564
40.292,6.012,30.518
40.375,6.011,30.782
40.417,6.014,30.705
40.458,6.013,30.712
40.500,6.014,30.448
40.542,6.014,30.555
40.583,6.015,30.678
40.625,6.012,30.527
40.667,6.013,30.485
40.708,6.014,30.458
40.750,6.014,30.431
40.792,6.013,30.398
40.833,6.012,30.493
40.875,6.012,30.526
40.958,6.012,30.746
41.000,6.014,30.478
41.042,6.012,30.349
41.083,6.012,30.548
41.125,6.011,30.445
41.167,6.011,30.161
41.208,6.013,30.156
41.250,6.012,30.393
41.292,6.012,30.431
41.375,6.012,30.459
41.417,6.013,30.265
41.458,6.012,30.364
41.500,6.013,30.466
41.542,6.013,30.450
41.583,6.013,30.499
41.625,6.013,30.217
41.667,6.013,30.448
41.708,6.013,30.295
41.750,6.014,30.404
41.792,6.015,30.451
41.833,6.012,30.528
41.875,6.012,30.326
41.958,6.014,30.350
42.000,6.014,30.047
42.042,6.014,30.054
42.083,6.012,30.185
42.125,6.013,30.240
42.167,6.014,30.142
