CD,FI3312B,TI3302A
6.013,31.523,88.863
6.014,31.641,88.899
6.014,31.739,88.912
6.014,31.640,88.886
6.014,31.542,88.863
6.012,31.559,88.812
6.012,31.404,88.796
6.012,31.776,88.778
6.012,31.510,88.801
6.013,31.617,88.803
6.012,31.655,88.832
6.014,31.665,88.830
6.013,31.547,88.820
6.015,31.429,88.769
6.015,31.495,88.784
6.013,31.521,88.752
6.014,31.815,88.799
6.012,31.575,88.785
6.013,31.651,88.811
6.013,31.603,88.859
6.013,31.708,88.894
6.014,31.516,88.913
6.014,31.521,88.960
6.015,31.622,88.982
6.015,31.828,88.946
6.014,31.487,89.021
6.015,31.519,88.878
6.013,31.535,88.868
6.012,31.760,88.851
6.012,31.742,88.849
6.013,31.453,88.892
6.013,31.548,88.925
6.013,31.663,88.836
6.012,31.510,88.814
6.012,31.378,88.792
6.014,31.662,88.793
6.012,31.559,88.816
6.012,31.513,88.840
6.012,31.680,88.830
6.013,31.491,88.840
6.013,31.591,88.822
6.014,31.699,88.844
6.014,31.561,88.890
6.013,31.597,88.904
6.015,31.690,88.971
6.015,31.848,88.958
6.015,31.713,88.928
6.014,31.715,88.900
6.014,31.555,88.884
6.012,31.799,88.865
6.014,31.453,88.838
6.013,31.674,88.850
6.014,31.636,88.806
6.015,31.628,88.836
6.012,31.596,88.892
6.013,31.651,88.874
6.012,31.387,88.865
6.013,31.655,88.857
6.013,31.803,88.877
6.014,31.589,88.835
6.012,31.723,88.860
6.013,31.760,88.884
6.013,31.834,88.901
2.547,30.883,85.618
2.455,30.885,85.085
2.331,30.878,85.072
6.011,29.879,88.579
6.013,29.749,88.804
6.012,30.292,88.589
6.013,30.227,88.639
6.013,30.748,88.702
6.014,30.403,88.680
6.013,30.608,88.563
6.013,30.712,88.566
6.012,30.616,88.701
3.047,30.184,86.559
2.454,29.611,84.373
2.454,29.744,84.099
2.455,29.995,84.076
2.454,29.776,84.050
2.453,29.690,83.987
2.454,29.674,84.038
2.453,29.426,84.007
2.452,29.889,84.037
2.454,29.941,84.079
2.452,29.765,84.032
2.453,29.628,83.983
2.452,29.399,83.947
6.012,30.458,88.426
6.012,30.233,88.906
6.012,30.391,88.819
6.013,30.807,88.785
6.014,30.146,88.807
6.012,30.573,88.840
6.014,29.766,88.857
6.013,30.302,88.902
6.012,30.501,88.900
4.294,29.749,89.166
2.452,30.687,85.107
2.451,30.935,84.424
2.454,30.775,84.836
2.453,30.316,85.091
2.453,30.525,85.100
2.452,30.879,85.066
2.453,30.793,85.244
2.453,30.558,85.313
2.453,30.761,85.316
2.453,30.699,85.275
2.453,30.567,85.266
2.453,30.525,85.259
6.012,31.576,88.721
6.011,31.801,88.731
6.012,31.543,88.779
6.012,31.607,88.846
6.011,31.478,88.842
6.011,31.433,88.853
6.012,31.910,88.880
6.012,31.382,88.879
6.013,32.019,88.851
2.456,31.256,86.254
2.454,30.867,84.898
2.455,30.977,84.641
2.454,31.034,84.436
2.454,30.682,84.257
2.452,30.755,84.209
2.454,31.026,84.333
2.453,30.703,84.407
2.453,30.429,84.178
2.451,30.784,84.125
2.450,30.836,84.269
2.451,30.592,84.208
2.451,30.619,84.178
6.010,31.066,88.583
6.010,31.544,88.881
6.011,31.150,88.926
6.009,31.202,88.980
6.011,31.426,88.969
6.011,31.622,88.959
6.010,30.827,88.965
6.009,31.078,88.984
6.011,31.252,88.835
3.372,30.628,86.505
2.452,30.570,84.218
2.454,30.687,83.729
2.455,30.890,83.624
2.456,30.898,83.621
2.456,31.165,83.645
2.455,31.017,83.732
2.455,31.060,84.240
2.455,31.082,84.244
2.454,30.700,84.287
2.455,31.073,84.234
2.454,30.528,84.173
2.453,30.570,84.060
6.010,31.508,88.979
6.010,31.395,88.883
6.011,31.302,88.944
6.011,31.356,89.050
6.011,31.362,89.065
6.008,31.347,89.028
6.008,31.158,88.983
6.010,31.129,88.950
6.010,31.285,88.974
6.010,31.357,89.081
6.008,31.538,89.071
6.012,31.143,89.139
6.011,31.056,89.182
6.012,31.379,89.133
6.013,31.056,89.105
6.010,31.225,89.091
6.012,31.103,89.062
6.010,31.343,89.018
6.010,30.960,89.020
6.009,30.874,88.983
6.008,30.712,88.977
6.007,30.868,88.970
6.006,30.896,88.968
6.006,31.276,88.926
6.005,30.727,89.206
6.006,30.798,89.271
6.006,30.760,89.285
6.005,30.633,89.229
6.005,30.571,89.201
6.003,30.721,89.168
6.003,30.342,89.195
6.005,30.888,89.278
6.006,30.957,89.356
6.009,30.828,89.414
6.011,31.000,89.486
6.011,30.875,89.443
6.010,30.981,89.389
6.012,31.209,89.427
6.013,31.040,89.499
6.013,31.231,89.387
6.012,31.156,89.331
6.011,31.512,89.329
6.012,31.349,89.364
6.011,30.963,89.350
6.010,30.899,89.367
6.009,30.853,89.317
6.009,30.815,89.287
6.008,30.862,89.251
6.009,30.857,89.244
