DOL,CD,FI3312A,FI3312B
14.292,6.014,29.755,31.636
14.375,6.013,29.377,31.702
14.417,5.982,29.848,31.648
14.458,6.013,29.983,31.639
14.500,6.013,29.619,31.740
14.542,6.014,29.812,31.757
14.583,6.012,29.805,31.496
14.625,6.014,29.460,31.637
14.667,6.013,29.581,31.632
14.708,6.013,29.093,31.548
14.750,6.012,29.074,31.755
14.792,6.013,29.739,31.343
14.833,6.012,29.652,31.608
14.875,6.012,29.318,31.716
14.958,6.014,29.391,31.446
15.000,6.011,29.652,31.408
15.042,6.011,29.854,31.823
15.083,6.011,29.724,31.686
15.125,6.011,29.670,31.626
15.167,6.011,29.902,31.700
15.208,6.010,29.674,31.475
15.250,6.010,29.809,31.603
15.292,6.013,29.853,31.644
15.375,6.014,29.491,31.725
15.417,6.014,29.191,31.956
15.458,6.013,29.838,31.675
15.500,6.013,29.721,31.619
15.542,6.014,29.699,31.552
15.583,6.015,29.632,31.662
15.625,6.015,29.731,31.495
15.667,6.014,29.660,31.598
15.708,6.014,29.831,31.741
15.750,6.014,29.720,31.742
15.792,6.012,29.850,31.733
15.833,6.014,29.896,31.654
15.875,6.013,29.310,31.646
15.958,6.013,29.722,31.784
16.000,6.012,29.623,31.718
16.042,6.013,29.874,31.703
16.083,6.012,29.696,31.464
16.125,6.011,29.819,31.439
16.167,6.011,29.421,31.627
16.208,6.014,28.992,31.613
16.250,6.013,29.603,31.593
16.292,6.011,29.857,31.506
16.375,6.012,29.677,31.752
16.417,6.013,29.820,31.532
16.458,6.014,29.793,31.480
16.500,6.014,29.100,31.691
16.542,6.014,29.802,31.287
16.583,6.014,29.717,31.506
16.625,6.013,29.163,31.686
16.667,6.015,29.245,31.679
16.708,6.014,29.497,31.584
16.750,6.014,29.715,31.815
16.792,6.013,29.701,31.464
16.833,6.012,29.571,31.743
16.875,6.013,29.419,31.884
16.958,6.013,29.356,31.698
17.000,6.014,29.452,31.753
17.042,6.012,29.591,31.672
17.083,6.013,29.549,31.688
17.125,6.010,29.619,31.723
17.167,6.012,28.791,31.661
17.208,6.012,28.755,31.582
17.250,6.011,29.130,31.899
17.292,6.011,29.317,31.902
17.375,6.013,29.526,31.681
17.417,6.012,29.570,31.550
17.458,6.013,29.336,31.369
17.500,6.012,29.337,31.274
17.542,6.014,28.833,31.578
17.583,6.014,29.452,31.651
17.625,6.013,29.428,31.654
17.667,6.013,28.829,31.456
17.708,6.013,29.487,31.562
17.750,6.013,29.581,31.733
17.792,6.013,28.759,31.590
17.833,6.012,29.202,31.704
17.875,6.013,29.785,31.673
17.958,6.012,29.126,31.405
18.000,6.012,29.557,31.661
18.042,6.012,28.791,31.468
18.083,6.010,29.557,31.455
18.125,6.012,29.210,31.575
18.167,6.010,28.844,31.709
18.208,6.010,29.370,31.731
18.250,6.010,29.650,31.610
18.292,6.010,28.880,31.494
18.375,6.011,29.533,31.647
18.417,6.011,29.681,31.572
18.458,6.012,29.297,31.622
18.500,6.011,29.524,31.535
18.542,6.010,29.537,31.502
18.583,6.009,29.551,31.410
18.625,6.009,29.432,31.447
18.667,6.009,29.474,31.821
18.708,6.009,29.807,31.817
18.750,6.010,29.388,31.790
18.792,6.011,29.645,31.548
18.833,6.010,29.413,31.799
18.875,6.009,28.950,31.503
18.958,6.010,29.465,31.488
19.000,6.009,29.523,31.495
19.042,6.009,29.504,31.472
19.083,6.010,29.493,31.434
19.125,6.012,29.334,31.181
19.167,6.011,29.350,31.691
19.208,6.012,29.502,31.570
19.250,6.011,28.884,31.690
19.292,6.009,29.607,31.539
19.375,6.010,29.567,31.465
19.417,6.012,29.121,31.484
19.458,6.013,29.570,31.512
19.500,6.014,29.756,31.727
19.542,6.015,29.204,31.422
19.583,6.014,29.448,31.612
19.625,6.014,29.793,31.702
19.667,6.014,29.051,31.489
19.708,6.013,29.548,31.395
19.750,6.013,28.800,31.610
19.792,6.013,29.766,31.327
19.833,6.013,29.565,31.506
19.875,6.015,29.637,31.459
19.958,6.014,29.347,31.557
20.000,6.013,29.463,31.644
20.042,6.011,29.521,31.700
20.083,6.012,29.565,31.873
20.125,6.011,29.616,31.603
20.167,6.013,29.228,31.910
20.208,6.011,29.665,31.817
20.250,6.011,29.651,31.741
20.292,6.009,29.745,31.736
20.375,6.012,29.652,31.816
20.417,6.013,29.478,32.003
20.458,6.011,29.697,31.814
20.500,6.016,29.642,31.752
20.542,6.015,29.706,31.876
20.583,6.015,28.958,31.747
20.625,6.014,29.492,31.430
20.667,6.014,29.706,31.636
20.708,6.014,29.560,31.661
20.750,6.012,29.648,31.832
20.792,6.013,29.724,31.625
20.833,6.013,29.430,31.406
20.875,6.014,29.530,31.368
20.958,6.013,29.511,31.481
21.000,6.012,29.840,31.463
21.042,6.013,29.507,31.607
21.083,6.012,29.550,31.484
21.125,6.011,29.323,30.950
21.167,6.009,29.451,31.072
21.208,6.010,29.880,31.540
21.250,6.010,29.620,31.373
21.292,6.010,28.909,31.402
21.375,6.012,28.940,31.530
21.417,6.011,29.025,31.499
21.458,6.012,29.726,31.373
21.500,6.012,29.892,31.752
21.542,6.013,29.876,31.401
21.583,6.013,29.947,31.402
21.625,6.014,29.890,31.711
21.667,6.013,29.982,31.763
21.708,6.012,29.031,31.512
21.750,6.012,29.894,31.807
21.792,6.012,29.991,31.894
